note_id,paragraph_index,text,primary_item_id,primary_item_title,primary_item_folder,origin
N001,1,Project structure,I01,"Foundation: rich node schema, metadata, and compatibility",01_foundation-rich-node-schema-and-metadata,docx
N002,2,Common Bloks,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N003,3,Deployment,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N004,4,Repos,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N005,5,Dockers,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N006,6,Task Flow,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N007,7,Backlog,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N008,8,Server,I02,Common starter blocks and project structure catalog refresh,02_common-blocks-and-project-structure-catalog,docx
N009,9,Meetings,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N010,10,Meetings,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N011,11,Meeting block,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N012,12,Online,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N013,13,"Channel (enum MSTeams, Google Meet, Zoom, WhatsApp, Telegram)",I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N014,14,Date,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N015,15,"Repeating (enum per day, per week, per 2 weeks, per month)",I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N016,16,RightClick Menu Options,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N017,17,Add blocks,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N018,18,Add Tasks,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N019,19,Add progress,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N020,20,Add priority,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N021,21,Add Recording,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N022,22,Onsite,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N023,23,Address,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N024,24,Click to google maps,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N025,25,Date,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N026,26,Repeating and right click same as online,I03,Meeting nodes for online and onsite work,03_meetings-online-and-onsite,docx
N027,27,Recording,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N028,28,Usually under some meeting block,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N029,29,Right click Menu options,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N030,30,Create transcript,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N031,31,Transcript,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N032,32,"Usually under some recording node, but can be separately (for example someone will send me transcript to email",I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N033,33,Right click menu options,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N034,34,Summarize,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N035,35,Find my tasks,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
