dependency,current_location,prepared_version,platform_surface,owner_bundle,required_action,evidence
System.Security.Cryptography.ProtectedData,CanDoItAll.Modules.Security,10.0.0,Windows DPAPI,core,Keep Windows provider; isolate runtime support and migration behavior; do not invoke on Unix.,Source inspected
ASP.NET Core Data Protection,Infrastructure composition,.NET 10,Key ring persisted to filesystem,core,Add explicit at-rest protection/bootstrap/profile and migration proof.,Source inspected
macOS Keychain,SecretVault provider enum,native service,Interactive secure storage,core,Implement or choose approved alternative; actual-host CRUD/restart/concurrency proof.,Current adapter unsupported
Linux Secret Service,SecretVault provider enum,D-Bus service,Interactive secure storage,core,Implement with session/locked/headless semantics; no silent fallback.,Current adapter unsupported
CanDoItAll.FileTools.Desktop,CanDoItAll.FileTools.Integration,0.1.18,Open/reveal/preferred application,runtime,Pinned Windows/Linux/macOS compatibility report; quarantine unsupported profiles.,Package reference inspected; runtime unproven
System.Management,CanDoItAll.Manager,project package reference,Windows WMI process discovery,runtime,Isolate behind Windows Manager adapter; neutral code must not depend on WMI.,Source/project inspected
Docker CLI/daemon,DockerHostToolService,host-provided,Plugin host tool,runtime,Separate executable/daemon/context capability; inject authoritative process host.,Source inspected
node/npm/npx,Playwright MCP and Manager/Tailwind,host or managed tool root,MCP/package/watch tools,runtime,Controlled versioned tool root; OS-correct executable resolution; no global cache authority.,Source inspected
Playwright MCP package,PlaywrightMcpLaunchResolver,configured package,Local stdio MCP,runtime,Pinned managed installation/integrity and actual-host E2E.,Source inspected
PowerShell/pwsh,Workbench runtime nodes and Manager,host-provided,Explicit script language; current universal launcher,runtime,Stop using as ordinary execution transport; retain explicit script capability only.,Source inspected
Python/Conda,Workbench runtime nodes,host-provided,Runtime node execution,runtime,Resolve interpreter directly by OS; capability-gate Conda.,Source inspected
PostgreSQL,Web/Infrastructure,current repository baseline,Production persistence/readiness,core,Actual-host integration/startup/restart; installation remains explicit.,Repository architecture
