surface_id,source_path,owner,plan_compiler,execution_primitive,lifecycle_owner,registry,environment_policy,executable_policy,capability_probe,receipt_owner,recovery_owner,domain_semantic_owner,current_shell_or_os_assumption,target_subbundle,status
RT-001,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceCommandProcessRunner.cs,AgentFramework Core,WorkspaceCommandPlanBuilder plus WorkspaceDotnetProcessLifecycle,LocalWorkspaceProcessHost,Workspace execution run,IWorkspaceExecutionRunProcessLeaseStore plus IWorkspaceProcessSession,WorkspaceCommandEnvironmentPolicy,WorkspaceExecutableLocator,Workspace command preflight,WorkspaceCommandReceiptWriter,WorkspaceExecutionRunProcessLeaseCleanupScopeFactory,Calling tool or workflow,Host-correct policy with typed argv bounded redacted output and direct shell-neutral kept-alive dotnet ownership,B01,Completed-B01-Gate-R1a-GO
RT-002,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathAliasSession.cs,AgentFramework Core,WorkspacePathAliasSession,LocalWorkspaceProcessHost,Workspace alias session,None,WorkspaceCommandEnvironmentPolicy,Typed Windows system subst.exe path,OperatingSystem.IsWindows,Workspace command receipt,Async session disposal,Workspace path compatibility,Windows-only compatibility adapter with typed create/delete arguments,B01,Completed-B01-Gate-R1a-GO
RT-003,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceGitCommandExecutor.cs,AgentFramework Core adapter,GitCommandSpec,LocalWorkspaceProcessHost,Git operation,None,WorkspaceCommandEnvironmentPolicy,WorkspaceExecutableLocator,Typed resolution failure,GitCommandResult,None,Git foundation,Cancellation and timeout map canonical tree-termination evidence,B01,Completed-B01-Gate-R1a-GO
RT-004,src/MAF/Common/CanDoItAll.AgentFramework.Core/Mcp/PlaywrightMcpLaunchResolver.cs,AgentFramework Core MCP,PlaywrightMcpLaunchResolver,Direct npm process,MCP setup,None,Inherited host environment,npm or npm.cmd plus cache probing,File and command probes,MCP setup diagnostic,None,MCP capability owner,Global npx cache selection,B04,Completed-B04-Gate-R3a-GO
RT-005,src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpProcessLauncher.cs,MCP runtime,LocalStdioMcpServerDescriptor,Direct Process,LocalStdioMcpProcessSession,Session-held Process,LocalStdioMcpEnvironmentBinder,WorkspaceExecutableLocator canonical identity,MCP resolver and start failure,MCP diagnostics and stdio session,Session tree kill,MCP capability owner,Independent bounded JSON-RPC and canonical executable identity policies,B04,Completed-B04-Gate-R3a-GO
RT-006,src/Modules/CanDoItAll.Modules.AgentFramework/Services/WorkspaceExternalProcessRunner.cs,AgentFramework module adapter,ExternalProcessToolDescriptor,LocalWorkspaceProcessHost,Tool invocation,None,WorkspaceCommandEnvironmentPolicy,WorkspaceExecutableLocator,Descriptor command policy,ToolInvocationResult,None,Tool capability owner,Canonical runner with UTF-8 output cap and redacted diagnostics,B01,Completed-B01-Gate-R1a-GO
RT-007,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs,Workbench,ProjectStructureRuntimePlanCompiler,IWorkspaceLongRunningProcessHost through the Workbench execution adapter,ProjectStructureRuntimeSessionRegistry,Host-lifetime exact-session registry,Typed plan environment,WorkspaceExecutableLocator,Direct terminal and elevation capability probes,Typed launch result and capability UI,Host-lifetime new-scope recovery with no cross-restart claim,Workbench runtime-node owner,Shell-neutral direct execution with explicit script approval and optional terminal/runas presentation,B02,Completed-B02-Workbench-GO
RT-008,tools/App/CanDoItAll.Manager/WatchSupervisorService.cs,Manager,Typed watch request,ManagerProcessCoordinator over LocalWorkspaceProcessHost,WatchSupervisorService plus exact session,Durable non-secret Manager registry,Canonical host environment policy,Resolved dotnet executable,Workspace and runtime readiness,Manager status and bounded output,ManagerProcessRecoveryService plus host leaf,Manager supervision,Registry-first exact ownership and graceful then force termination,B03,Completed-B03-Gate-R2-GO
RT-009,tools/App/CanDoItAll.Manager/TailwindWatchSupervisorService.cs,Manager,Typed Tailwind node plan and explicit npm install plan,ManagerProcessCoordinator over LocalWorkspaceProcessHost,TailwindWatchSupervisorService plus exact session,Durable non-secret Manager registry,Canonical host environment policy,Resolved node or explicit npm compatibility plan,Dependency and workspace probes,Manager status and bounded output,ManagerProcessRecoveryService plus host leaf,Manager supervision,Direct node entry and convergent host-correct watcher policy,B03,Completed-B03-Gate-R2-GO
RT-010,tools/App/CanDoItAll.Manager/TuningExecutionAdapter.cs,Manager,Typed tokenized tuning plan,ManagerProcessCoordinator over LocalWorkspaceProcessHost,Tuning request exact session,Durable non-secret Manager registry,Canonical host environment policy,Resolved configured executable,Typed validation,TuningExecutionResult,ManagerProcessRecoveryService plus host leaf,Manager tuning owner,Post-tokenization typed substitution and canonical cancellation,B03,Completed-B03-Gate-R2-GO
