feature_id,category,feature_name,source_refs,existing_tests,recommended_subbundles,required_validation
F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces",ProjectStructurePage.razor:44-80; ProjectStructurePage.razor:514-803,Renders_selection_window_and_toolbar_toggles_without_stage_inspector_column; Health_window_toggle_restores_the_default_offset_that_keeps_the_toolbox_clear; Project_structure_feedback_fixes_are_validated_in_browser,P0-01;P0-02;P0-06;P2-02,bUnit toggle assertions; Playwright screenshot of default state and toggled windows
F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore,ProjectStructurePage.razor:81-175; ProjectStructurePage.ToolWindows.cs:24-47; CanvasFloatingWindow.razor; canvas-floating-window.js,Expanded_window_renders_icon_only_actions_with_accessible_labels; Minimized_window_renders_expand_and_hide_icons_without_text_labels; Project_structure_feedback_fixes_are_validated_in_browser,P0-01;P0-02;P0-07;P2-02,bUnit floating-window tests; Playwright drag and chrome screenshots
F03,Toolbox,Toolbox search filters standard block actions,ProjectStructurePage.ToolWindows.cs:49-114; ProjectStructurePage.razor:83-175,Project_structure_feedback_fixes_are_validated_in_browser,P0-01;P0-06;P2-02,Playwright search + scroll + screenshot
F04,Toolbox,Toolbox accordion group expand/collapse,ProjectStructurePage.ToolWindows.cs:49-100; ProjectStructurePage.razor:106-175,Project_structure_feedback_fixes_are_validated_in_browser,P0-01;P2-02,"Playwright click accordion, verify open group count and no canvas event leakage"
F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows,ProjectStructureCanvasCatalog.cs; ProjectStructureActionCatalogAdapter.cs; ProjectStructurePage.CreateCatalog.cs,Prompt_flow_context_actions_include_wizard_and_create_tools; Group_context_actions_expose_border_and_shared_status_tools; Markdown_create_definition_keeps_text_fields_and_file_upload_enabled; Structure_canvas_supports_inline_note_creation_editing_and_context_create_dialogs,P0-05;P1-04;P2-01,bUnit catalog tests; Playwright create dialog and context create flows
F06,Health window,"Health floating window with counts, spotlight, and validate-selected action",ProjectStructurePage.razor:176-252; ProjectStructurePage.razor:1796-1831,Health_window_toggle_restores_the_default_offset_that_keeps_the_toolbox_clear; Blocked_validation_nodes_surface_annotations; Summary_counts_blocked_review_and_priority_nodes,P0-02;P0-06;P1-04,bUnit window state restoration; screenshot with health window visible
F07,Selection window,Selection window empty state,ProjectStructurePage.razor:253-314,Renders_selection_window_and_toolbar_toggles_without_stage_inspector_column,P1-04,bUnit empty-state render
F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection",ProjectStructurePage.razor:315-472; ProjectStructurePage.razor:1688-1751,Persisted_multi_select_state_renders_common_actions_in_selection_window,P0-04;P0-05;P1-04,bUnit multi-select panel; Playwright multi-select screenshot and batch action checks
F09,Selection window,"Single-select detail view with badges, quick signals, node actions, and advanced details",ProjectStructurePage.razor:473-744; ProjectStructurePage.SelectionPanel.cs,Selected_nodes_render_advanced_details_and_keep_delete_last_in_action_order; File_selection_panel_uses_semantic_badges_and_suppresses_duplicate_type_metadata,P1-04,bUnit single-select detail tests; screenshot of file node and runtime node
F10,Linking,"Link mode, reconnect, and disconnect workflows",ProjectStructurePage.razor:1295-1303; ProjectStructurePage.Workflows.cs:49-68; ProjectStructurePage.Workflows.cs:444-460,Project_nodes_use_project_specific_actions_instead_of_generic_graph_mutations; Structure_canvas_supports_inline_note_creation_editing_and_context_create_dialogs,P0-05;P1-03,Targeted browser test for link mode and reconnect
F11,Attachments,Inline managed attachment preview in selection panel,ProjectStructurePage.razor:563-650; ProjectStructurePage.razor:2006-2139,Pdf_attachment_nodes_render_inline_preview_and_open_modal_without_navigation; Audio_attachment_nodes_render_audio_preview_and_local_open_action_when_host_supports_it,P1-04,bUnit preview render; screenshot of inline preview
F12,Attachments,Attachment preview modal for PDF/video/audio/document,ProjectStructurePage.razor:745-800; ProjectStructurePage.razor:2129-2139,Pdf_attachment_nodes_render_inline_preview_and_open_modal_without_navigation; Double_clicking_pdf_attachment_nodes_keeps_preview_modal_behavior,P1-04;P2-02,bUnit modal open/close; Playwright screenshot of modal
F13,Quick actions,Quick action dialog on double-click/open with node-specific actions,ProjectStructurePage.NodeQuickActions.cs; ProjectStructurePage.razor:1344-1355,Double_clicking_prompt_flow_nodes_opens_quick_action_modal_and_wizard_new_tab_action; Double_clicking_launchable_runtime_nodes_opens_quick_action_modal_and_runs_powershell,P0-01;P1-04,bUnit dialog tests; screenshot of quick action dialog
F14,Navigation,Prompt flow nodes expose wizard navigation in inspector and quick action modal,ProjectStructurePage.NodeEditing.cs; ProjectStructurePage.NodeQuickActions.cs,Prompt_flow_nodes_expose_wizard_navigation_from_the_inspector; Double_clicking_prompt_flow_nodes_opens_quick_action_modal_and_wizard_new_tab_action,P1-04,Existing bUnit tests
F15,Navigation,Project/subproject/shared-parent nodes open related structure in a new tab,ProjectStructurePage.ProjectHierarchy.cs:99-112; ProjectStructurePage.razor:1344-1355,Double_clicking_project_subproject_nodes_opens_related_structure_in_new_tab; Double_clicking_shared_parent_project_nodes_opens_related_structure_in_new_tab,P1-04,Existing bUnit tests
F16,Hierarchy,Add subproject dialog from selected root project,ProjectStructurePage.ProjectHierarchy.cs:19-171; ProjectStructurePage.razor:651-688,Selected_root_project_can_add_subproject_from_the_selection_panel,P0-05;P1-04,bUnit hierarchy dialog test
F17,Hierarchy,Reconnect parent dialog from selected subproject,ProjectStructurePage.ProjectHierarchy.cs:19-171; ProjectStructurePage.razor:651-688,Selected_subproject_can_reconnect_parent_from_the_selection_panel,P0-05;P1-04,bUnit hierarchy dialog test
F18,Summary,Summary modal with inline status edits,ProjectStructurePage.Workflows.cs:109-149; ProjectStructurePage.razor:893-980,Selected_nodes_with_children_open_summary_modal_and_show_export_actions,P0-05;P1-04,bUnit summary modal; screenshot of summary modal
F19,Exports,Export summary workbook (XLSX/CSV-backed behavior),ProjectStructurePage.Workflows.cs:150-181; ProjectStructurePage.razor:907-909,Selected_nodes_with_children_open_summary_modal_and_show_export_actions; Project_structure_artifacts_capture_required_canvas_evidence,P1-04;P2-02,Browser export flow and artifact existence
F20,Exports,Export Gantt from summary,ProjectStructurePage.Workflows.cs:182-222; ProjectStructurePage.razor:907-909,Selected_nodes_with_children_open_summary_modal_and_show_export_actions; Project_structure_artifacts_capture_required_canvas_evidence,P1-04;P2-02,Browser export flow and artifact existence
F21,Exports,Export image from selected hierarchy / mindmap capture,ProjectStructurePage.Workflows.cs:223-271; CanvasWorkbench.razor:692-699; canvasWorkbenchInterop.js:5672-5685,Project_structure_export_image_capture_generates_i18_artifacts,P1-01;P2-02;P3-01,Playwright export image flow and artifacts
F22,Transcript,Transcript provider confirmation dialog and transcript actions,ProjectStructurePage.Workflows.cs:272-437; ProjectStructurePage.razor:981-1075,Transcript_nodes_open_confirmation_dialog_with_provider_selection; Project_structure_artifacts_capture_required_canvas_evidence,P1-04;P2-02,bUnit provider dialog; screenshot of provider confirmation
F23,Mermaid,Mermaid viewer modal with diagram type detection,ProjectStructurePage.Workflows.cs:438-443; ProjectStructurePage.razor:1077-1110,Selected_mermaid_nodes_open_viewer_modal_with_detected_diagram_type,P1-04;P2-02,bUnit mermaid modal; screenshot of viewer
F24,Deletion,Delete confirmation flow,ProjectStructurePage.Workflows.cs:69-106; ProjectStructurePage.razor:689-744,Selected_nodes_render_advanced_details_and_keep_delete_last_in_action_order,P0-05;P1-04,bUnit action order and dialog checks
F25,Runtime launch,Runtime launch actions (PowerShell/admin) and launch feedback,ProjectStructurePage.RuntimeLaunch.cs; ProjectStructurePage.razor:620-643,Launchable_runtime_nodes_render_powershell_actions_and_surface_launch_feedback; Double_clicking_launchable_runtime_nodes_opens_quick_action_modal_and_runs_powershell; Non_launchable_nodes_do_not_render_runtime_launch_actions,P1-04,Existing bUnit tests; runtime action screenshot
F26,Outline/support,Outline list selection sync below the canvas,ProjectStructurePage.razor:804-819,Renders_shared_structure_workbench_and_updates_inspector_from_outline_selection,P0-06;P1-04,bUnit outline selection test
F27,Health/support,Graph health support card below the canvas,ProjectStructurePage.razor:821-839,Project_structure_artifacts_capture_required_canvas_evidence,P0-06,Product decision plus screenshot if retained
F28,Borders,Create selection border and clear selection borders,ProjectStructurePage.razor:1737-1767; ProjectStructureGraphAdapter.cs:60-110,Group_context_actions_expose_border_and_shared_status_tools,P0-05;P1-03,Targeted unit tests for frame add/remove and screenshot with border
F29,Borders,Adopt moved nodes into borders after drag,ProjectStructurePage.Workflows.cs:462-543; ProjectStructurePage.razor:1310-1318,,P0-04;P1-03,Add automated test before or during refactor
F30,State,"Persisted selection, zoom/pan view state, and window state restoration",ProjectStructurePage.razor:1321-1859; CanvasWorkbench.razor:415-423; CanvasWorkbenchContracts.cs:123-202,Persisted_multi_select_state_renders_common_actions_in_selection_window; Health_window_toggle_restores_the_default_offset_that_keeps_the_toolbox_clear,P0-02;P0-03,bUnit state restoration; browser refresh persistence check
F31,Rendering,Inline note creation and editing from the canvas,ProjectStructurePage.razor:1381-1389; ProjectStructurePage.Workflows.cs; canvasWorkbenchInterop.js inline note behavior,Structure_canvas_supports_inline_note_creation_editing_and_context_create_dialogs; Edit_actions_open_prefilled_canvas_composer_for_supported_nodes; Edit_create_actions_update_existing_nodes_and_refresh_selection_panel,P0-05;P1-01;P1-03,Browser note create/edit path and bUnit edit tests
F32,Media / file nodes,Compact path and subtype-specific mapping for repository/file nodes,ProjectStructureGraphAdapter.cs:229-241; ProjectStructurePage.razor:2062-2115,File_backed_nodes_map_compact_path_payload_with_promoted_file_name; Repository_nodes_strip_full_path_from_lead_text_when_compact_path_is_present; File_nodes_use_subtype_specific_palettes,P1-01;P1-04,Existing bUnit tests
F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes,PromptFactoryPage.razor:69-88; PromptFactoryPage.razor:166-284,Prompt_factory_canvas_surface_loads_and_exposes_shared_chrome; Prompt_library_catalog_is_exhaustively_available_from_prompt_gallery_and_factory_canvas; Prompt_factory_artifacts_capture_toolbox_preview_and_single_add_flow,P0-01;P0-02;P2-01;P2-02,Run PromptFactory browser suite after every shared-canvas change
F34,Shared surface,Sandbox canvas page still works after shared canvas changes,Components.Sandbox/Components/Pages/Canvas.razor,Workbench_renders_toolbar_hint_and_help_overlay; Workbench_uses_settings_icon_and_marks_settings_overlay_with_toolbar_safe_modifier,P0-01;P2-01,Smoke/manual validation or add a targeted browser test
