record_id,store,source_path,current_format,target_format,key_or_path_dependency,source_host_required,backup,transaction_marker,verification,rollback,owner,status
PERS-001,control-plane database profile catalog,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs,JSON with absolute WorkspaceRoot and protected password,versioned JSON with explicit host affinity and migrated secret reference,physical root plus Data Protection key ring,yes,copy catalog and active-profile files before write,same-directory migration state file,reload schema validate root and resolve secret,restore backup and previous active-profile file,A03/A04,Classified
PERS-002,active database profile selection,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs,JSON active profile id,versioned or schema-compatible active selection,profile identity,no,copy active-profile file,same-directory migration state file,reload and resolve selected profile,restore copied file,A03,Classified
PERS-003,retired SQLite profile quarantine,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/LegacyDatabaseProfileCatalogQuarantine.cs,legacy JSON records with SQLite paths,sanitized catalog plus quarantine backup,physical database and workspace paths,yes,existing quarantine backup,quarantine completion marker,sanitized reload and backup presence,restore original backup,A03,Existing-compatible
PERS-004,file application preferences,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/FileApplicationPreferences.cs,JSON extension to absolute executable path,versioned host-bound executable identity preference,physical executable path,yes,copy preferences file,same-directory migration state file,reload and capability probe executable,restore backup or discard invalid host preference,A03/B05,Classified
PERS-005,ASP.NET Data Protection key ring,src/Foundation/CanDoItAll.Infrastructure/DependencyInjection/InfrastructureServiceCollectionExtensions.cs,XML keys in control-plane directory,profile-selected at-rest protected key ring,control-plane root and protection provider,yes,copy key-ring directory and metadata,bootstrap state marker,unprotect existing protected payload and restart,restore key-ring backup and previous provider config,A04,Classified
PERS-006,security secret records,src/Modules/CanDoItAll.Modules.Security/SecurityModels.cs,EF TEXT containing vault reference or legacy Data Protection payload,vault reference with provider/version metadata,Data Protection key ring or vault provider,yes,database backup plus vault snapshot,migration batch state in database,resolve each secret by id without logging value,restore database and vault snapshot,A04,Classified
PERS-007,file-backed vault wrapping key,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,Base64 AES key beside ciphertext,externally protected or OS-backed wrapping key descriptor,physical vault root,yes,copy vault directory,provider bootstrap state file,decrypt and re-encrypt sentinel then restart,restore vault directory and provider selection,A04,Unsafe-current-format
PERS-008,file-backed vault secret entries,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,per-secret encrypted files keyed by normalized vault reference,versioned authenticated ciphertext with durable atomic writes,vault root key and record key,yes,copy vault directory,migration state file with completed record ids,decrypt compare in memory and restart,restore vault directory,A04,Classified
PERS-009,storage catalog,src/Foundation/CanDoItAll.Infrastructure/Storage/Persistence/StoragePersistenceModels.cs,EF columns EndpointOrRoot ConfigJson CredentialSecretId,versioned provider configuration and host-affinity metadata,filesystem root remote endpoint and secret id,filesystem rows only,database backup or transactional migration,database migration/history plus application migration state,load every driver configuration and probe without mutation,restore database backup or reverse migration,A03,Classified
PERS-010,storage object references and workflow artifact locators,src/Foundation/CanDoItAll.Infrastructure/Storage/Models/StorageModels.cs | src/Modules/CanDoItAll.Modules.AgentFramework/Persistence/PersistentWorkflowStores.cs,string Locator/StoragePath with contextual kind,canonical logical/remote/content/URL locator with explicit kind,storage catalog and workspace logical paths,only legacy absolute rows,database backup,migration batch state,resolve through owning storage and compare identity,restore affected rows from backup,A01/A03,Classified
PERS-011,project structure metadata,src/Modules/CanDoItAll.Modules.Workbench/Workbench/ProjectWorkbenchModels.cs,MetadataJson with physical/logical/runtime string fields,versioned metadata with typed logical path and runtime execution fields,workspace root repository root script command working directory,yes,database backup,migration batch record with project/node ids,parse every node and compile runtime metadata without launch,restore MetadataJson values,B00/B02,Classified
PERS-012,agent capability catalog,src/MAF/Common/CanDoItAll.AgentFramework.Models/Editors/EditorModels.cs | src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/Capabilities/MafRuntimeCapabilityConfiguration.cs,EndpointOrPath and ConfigurationJson command/root/environment fields,versioned typed capability configuration,executable identity working directory skill/RAG roots and secret bindings,yes,database backup,migration batch record with capability ids,parse prove capability and compile execution plan without launch,restore catalog records,B00/B01/B04,Classified
PERS-013,process template packs,src/Processes/CanDoItAll.Processes.Templates/ProcessTemplateExecutionContracts.cs,JSON/YAML template script references and runtime variables,explicit script mode with canonical logical references,template root and runtime capability,only external absolute references,copy template pack or preserve source revision,template version and migration receipt,load compile and validate without execution,restore source pack/version,B02/B06,Classified
PERS-014,Manager artifacts and supervision registry,tools/App/CanDoItAll.Manager/ManagerOptions.cs,current artifact paths plus incomplete launch identity,persisted owned-process identity and portable artifact layout,workspace root executable identity and process ownership,yes,copy Manager artifact directory,atomic registry generation/receipt,restart and prove only owned process is recovered,restore artifact backup and leave unrelated processes untouched,B03,Classified
