FindingId,Severity,Area,Path,Lines,Note
F01,Critical,Operator diagnostics / observation correlation,src/Processes/CanDoItAll.Processes.Application/ProcessRuntimeProjectionQueryService.cs,1400-1426,BuildOperatorProblemSummary appends “No AgentFramework result summary was found…” when receipt exists but diagnostic is null.
F01,Critical,Operator diagnostics / observation correlation,src/Processes/CanDoItAll.Processes.Application/ProcessRuntimeOperatorActionDiagnostics.cs,11-57,"Diagnostic is null when there is no observation, no raw ResultSummary, no last error and no failed tool receipts."
F02,Critical,Execution observation query,src/Processes/CanDoItAll.Processes.Projections/ProcessExecutionObservationContracts.cs,19-23,"Query contains RunIds, FromUtc, ToUtc, TakePerRun only; no step filter."
F02,Critical,Execution observation query,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionObservationReader.cs,53-58,Execution runs are grouped by ProcessRunId and TakePerRun is applied before exact step matching.
F02,Critical,Execution observation query,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionObservationReader.cs,117-123,ListExecutionRunsAsync queries by ProcessRunId only; ProcessStepId is not supplied.
F03,Critical,Subprocess orchestration,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.Subprocess.cs,36-120,Adapter can launch a mapped subprocess before agent execution and can return a deferred/result outcome.
F03,Critical,Subprocess orchestration,Templates/Processes/processes/dotnet-development-slice/steps/prepare-solution-skeleton.md,3-9,Step doc tells the agent to launch subprocess with the governed tool and submit ParentDeferredOutcomeJson exactly.
F03,Critical,Subprocess orchestration,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.SubprocessState.cs,223-247,Runtime can build a completed parent outcome from child evidence refs.
F04,Critical,Subprocess child-to-parent artifact bridge,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.SubprocessState.cs,192-221,"ResolveCompletedChildEvidenceRefs adds every existing child step artifact under the child run, or the child steps folder fallback."
F04,Critical,Subprocess child-to-parent artifact bridge,Templates/Processes/processes/dotnet-development-slice/definition.json,310-321,Parent expected output maps only to SubprocessChildStepKey setup-handoff and title Setup handoff packet.
F04,Critical,Subprocess child-to-parent artifact bridge,Templates/Processes/processes/dotnet-development-slice/steps/prepare-solution-skeleton.md,9,"Text says setup-handoff-after-repair is also accepted, but this is not represented as a machine-readable accepted output array."
F05,High,Artifact finalization / ledger consistency,src/Processes/CanDoItAll.Processes.Runtime/ProcessRuntimeEngine.Results.cs,44-55,appliedResult is produced by EnforceStepFinalizationContract and used for status/receipts/slots.
F05,High,Artifact finalization / ledger consistency,src/Processes/CanDoItAll.Processes.Runtime/ProcessRuntimeEngine.Results.cs,86-92,"BuildArtifactLedgerEvents receives command, not appliedResult."
F05,High,Artifact finalization / ledger consistency,src/Processes/CanDoItAll.Processes.Runtime/ProcessRuntimeEngine.ResultHelpers.cs,416-436,BuildArtifactLedgerEvents uses command.Result.ProducedArtifacts.
F06,High,Runtime contract prompt,src/Processes/Drivers/CanDoItAll.Processes.Drivers.Abstractions/ProcessStrategyContracts.cs,62-80,RequiredArtifactInputRef and ExpectedProducedArtifactRef are minimal and slot-id centric.
