capability_id,command_or_path,allowed_identity,windows_candidates,linux_candidates,macos_candidates,execute_bit_or_script_policy,path_source,version_probe,availability_states,owner,status
CAP-GIT,git,Git executable selected by GitCommandSpec,PATHEXT-resolved git,git,git,Direct executable required,WorkspaceExecutableLocator,None,Available Missing NotExecutable StartFailed,Git foundation plus AgentFramework Core adapter,Completed-B01-Gate-R1a-GO
CAP-SUBST,subst,Windows system subst command,Explicit system subst.exe,None,None,Windows-only compatibility command,Host system directory,None,Available Unsupported StartFailed,Workspace path alias session,Completed-B01-Gate-R1a-GO
CAP-WORKSPACE-COMMAND,workspace command executable,Policy-authorized resolved identity,PATHEXT-ordered candidates,Executable regular file with execute bit,Executable regular file with execute bit,No implicit shell and explicit script interpreter,WorkspaceExecutableLocator,Command-specific,Available Missing NotExecutable Disallowed,AgentFramework Core,Completed-B01-Gate-R1a-GO
CAP-POWERSHELL,explicit PowerShell script or terminal presentation,Approved script or terminal adapter,powershell.exe,None,None,Explicit script requires per-launch operator approval; no ordinary-command fallback,System path,None,Available Unsupported Disallowed,Workbench,Completed-B02-Workbench-GO
CAP-DOTNET-WATCH,dotnet watch,Resolved dotnet host,dotnet.exe or dotnet,dotnet,dotnet,Typed arguments required,System path,dotnet --info,Available Missing Unsupported,Manager,Classified-B03
CAP-TAILWIND,tailwindcss,Workspace-local managed CLI,tailwindcss.cmd,tailwindcss,tailwindcss,Managed script wrapper is explicit,Workspace node_modules,CLI version,Available Missing NotExecutable,Manager,Classified-B03
CAP-NPM,npm package manager,Resolved npm identity,npm.cmd or npm.exe,npm,npm,Shell only for the current Windows install compatibility path,System path,npm --version,Available Missing Unsupported,Manager and MCP,Classified-B03-B04
CAP-MCP-STDIO,configured MCP command,Descriptor-authorized resolved identity,PATHEXT-approved candidate,Executable regular file,Executable regular file,No implicit shell,McpExecutableResolver,Descriptor-specific,Available Missing NotExecutable Ambiguous Disallowed,MCP runtime,Classified-B04
CAP-PLAYWRIGHT-MCP,managed Playwright MCP server,Pinned managed installation,node.exe plus managed server,node plus managed server,node plus managed server,Explicit node script,Managed tool root,Managed package version,Available Missing Untrusted Unsupported,MCP runtime,Classified-B04
CAP-EXTERNAL-TOOL,external capability executable,Allowed executable-name descriptor,PATHEXT-resolved descriptor,Exact executable descriptor,Exact executable descriptor,No implicit shell,WorkspaceExecutableLocator,Capability-specific,Available Missing NotExecutable Disallowed StartFailed,External tools plus AgentFramework module adapter,Completed-B01-Gate-R1a-GO
CAP-DOCKER,docker CLI,Resolved docker identity,docker.exe or PATHEXT-approved docker candidate,docker,docker,Direct executable required,WorkspaceExecutableLocator,"docker context show then docker version server format",Available Missing InvalidConfiguration PermissionDenied Unavailable TimedOut,Docker plugin,Implemented-B05-Gate-R3b-Pending
CAP-DESKTOP-FILE,desktop file launch,FileTools approved application identity plus host-bound preference,FileTools Windows adapter,FileTools Linux adapter with DISPLAY/WAYLAND profile,FileTools macOS adapter with interactive profile,External library contract with pre-delegation cancellation,Host-bound preferred application or host default,Runtime profile and desktop-session capability,Available DesktopUnavailable TargetNotFound ApplicationNotFound ProcessStartFailed,FileTools integration,Implemented-B05-Gate-R3b-Pending-ActualMacOSDeferred
CAP-PROCESS-DRIVER,process strategy capability,Stable capability ID declared by driver,Profile-specific,Profile-specific,Profile-specific,Resolved by owning capability adapter,Process driver descriptor,Capability preflight,Available Missing Unsupported Degraded,Processes,Completed-B06-Gate-R3-GO-ActualMacOSDeferred
