requirement_id,priority,owner_subbundle,status
PREP-001,P0,A00,Satisfied
PREP-002,P0,A00,Satisfied
PREP-003,P0,A00,Satisfied
PREP-004,P1,A00,Satisfied
PATH-001,P0,A01,Satisfied
PATH-002,P0,A01,Satisfied
PATH-003,P0,A01,Satisfied
PATH-004,P1,A01,Satisfied
PATH-005,P0,A01,Satisfied
PATH-006,P0,A01,Satisfied
PATH-007,P1,A01,Satisfied
PATH-008,P0,A01,Satisfied
PATH-009,P1,A01,Satisfied
PATH-010,P1,A01,Satisfied
FS-001,P0,A02,Verified
FS-002,P1,A02,Verified
FS-003,P0,A02,Verified
FS-004,P0,A02,Verified
FS-005,P0,A02,Verified
FS-006,P1,A02,Verified
FS-007,P0,A02,Verified
FS-008,P1,A02,Verified
FS-009,P1,A02,Verified
FS-010,P1,A02,Verified
STO-001,P0,A03,Satisfied — Gate C2a GO
STO-002,P1,A03,Satisfied — Gate C2a GO
STO-003,P0,A03,Satisfied — Gate C2a GO
STO-004,P0,A03,Satisfied — Gate C2a GO
STO-005,P0,A03,Satisfied — Gate C2a GO
STO-006,P1,A03,Satisfied — Gate C2a GO
STO-007,P0,A03,Satisfied — Gate C2a GO
STO-008,P1,A03,Satisfied — Gate C2a GO
STO-009,P0,A03,Satisfied — Gate C2a GO
SEC-001,P0,A04,Satisfied — Gate C2 GO
SEC-002,P0,A04,Implemented — actual macOS validation explicitly deferred; Gate C2 GO
SEC-003,P0,A04,Satisfied — Gate C2 GO
SEC-004,P0,A04,Satisfied — Gate C2 GO
SEC-005,P0,A04,Satisfied — Gate C2 GO
SEC-006,P0,A04,Satisfied — Gate C2 GO
SEC-007,P0,A04,Satisfied — Gate C2 GO
SEC-008,P0,A04,Satisfied — Gate C2 GO
SEC-009,P0,A04,Satisfied — Gate C2 GO
SEC-010,P0,A04,Satisfied — Gate C2 GO
SEC-011,P0,A04,Satisfied — Gate C2 GO
SEC-012,P1,A04,Satisfied — Gate C2 GO
SEC-013,P0,A04,Satisfied — Gate C2 GO
SEC-014,P0,A04,Satisfied — Gate C2 GO
PLAT-001,P0,A05,Satisfied — Gate C3a GO
PLAT-002,P0,A05,Satisfied — Gate C3a GO
PLAT-003,P1,A05,Satisfied — Gate C3a GO
PLAT-004,P1,A05,Satisfied — Gate C3a GO
PLAT-005,P0,A05,Satisfied — Gate C3a GO
HOST-001,P0,A06,Satisfied — Gate C3b/Hosting GO
HOST-002,P1,A06,Satisfied — Gate C3b/Hosting GO
HOST-003,P1,A06,Satisfied — Gate C3b/Hosting GO
HOST-004,P1,A06,Satisfied — Gate C3b/Hosting GO
HOST-005,P1,A06,Satisfied — Gate C3b/Hosting GO
DOC-001,P1,A06,Satisfied — Gate C3b/Hosting GO
CI-001,P0,A07,Implemented — exact-commit hosted checks and repository policy evidence pending
CI-002,P0,A07,Implemented — Windows/Ubuntu pass; genuine macOS pending hosted CI
CI-003,P0,A07,Implemented — Ubuntu restart passes; genuine macOS pending hosted CI
CI-004,P1,A07,Implemented — Windows/Ubuntu pass; genuine macOS pending hosted CI
CI-005,P0,A07,Satisfied locally — exact-commit hosted Windows confirmation pending
CI-006,P1,A07,Implemented and locally enforced — hosted static check pending
CI-007,P0,A07,Satisfied for implementation progression only — exact pushed anchors recorded; C4 remains deferred
