source,area,path_or_symbol,confidence,note
repository,package,Directory.Build.props,Confirmed,Add two shared MAF properties; no CPM
repository,package,src/MAF/Common/CanDoItAll.AgentFramework.Maf/CanDoItAll.AgentFramework.Maf.csproj,Confirmed,"Stable 1.13, A2A preview 1.13, adjacent packages"
repository,package,src/MAF/Workflows/CanDoItAll.AgentFramework.Workflows.MafAdapter/CanDoItAll.AgentFramework.Workflows.MafAdapter.csproj,Confirmed,Stable MAF 1.13
repository,package,src/MAF/Common/CanDoItAll.AgentFramework.Hosting/CanDoItAll.AgentFramework.Hosting.csproj,Confirmed,Hosting.A2A preview 1.13
repository,hosting,src/MAF/Common/CanDoItAll.AgentFramework.Hosting/AgentFrameworkServiceCollectionExtensions.cs,Confirmed,"Custom workspace services, A2A, runtime and checkpoint registrations"
repository,runtime,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafAgentRuntime.cs,Confirmed,"Per-execution build, streaming merge, approvals, session persistence"
repository,agent-factory,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimeAgentFactory.cs,Confirmed,"ChatClientAgentOptions, tools, policy, handoff participants"
repository,approval,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafApprovalContinuationDriver.cs,Confirmed,"Cache, rehydration, batch bool, random ID fallback"
repository,session,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimeSessionBuilder.cs,Confirmed,Restore/create/history/governed isolation/options
repository,session,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimeSessionPersistenceDriver.cs,Confirmed,"5s timeout, catch-all, attachment scrub"
repository,response,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimeResponseAssembler.cs,Confirmed,"Usage merge, finalizer, empty completion"
repository,workspace,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimeDependencyResolver.cs,Confirmed,Custom workspace service resolution
repository,workflow,src/MAF/Workflows/CanDoItAll.AgentFramework.Workflows.MafAdapter/MafHandoffWorkflowFactory.cs,Confirmed,"Workflow host, depth guard, stream remerge"
repository,filetools,src/Integration/CanDoItAll.FileTools.Integration/CanDoItAll.FileTools.Integration.csproj,Confirmed,"Custom FileTools packages, no Harness ref"
repository,architecture,.codex/bundles/agent-preload-activity-stream-architecture/architecture/01-target-solution.md,Confirmed,No live runtime pooling
repository,provider-factory,all IMafProviderAgentFactory implementations,Discovery required,Prove effective middleware and UseProvidedChatClientAsIs
repository,response,MafAgentResponseSnapshotter source,Discovery required,"Audit sorting, IDs, grouping"
repository,streaming,provider streaming runner source,Discovery required,Prove AIAgent path and active session
repository,checkpoint,WorkflowBackedAgentExecutionCheckpointBridge source,Discovery required,Determine native MAF checkpoint persistence
upstream,approval,Microsoft.Agents.AI/ChatClient/ApprovalResponseBindingChatClient.cs @ dotnet-1.15.0,Confirmed,StateBag binding and exact request rebind
upstream,options,Microsoft.Agents.AI/ChatClient/ChatClientAgentOptions.cs @ 1.13 and 1.15,Confirmed,Mixed approval default changed
upstream,workflow,Microsoft.Agents.AI.Workflows/WorkflowHostAgent.cs @ 1.15,Confirmed,Terminal output projection in non-streaming path
upstream,workflow,Microsoft.Agents.AI.Workflows/MessageMerger.cs @ 1.15,Confirmed,First-seen ordering and MEAI merge
upstream,harness,Microsoft.Agents.AI.Harness/HarnessAgentOptions.cs @ 1.15,Confirmed,FileAccessStore opt-in
