"Name","PreviouslyFailed","Message"
"CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Organization_workspace_migrates_exact_legacy_managed_openai_image_model","True","Assert.Equal() Failure: Values differ
Expected: ManagedOpenAiImageProviderState { Id = 8958fa61-4bd6-1451-8123-4e4e4fea2e26, Name = OpenAI image generation, ProviderKind = OllamaRemote, ConnectorPluginKey = provider.ollama.remote, ConfigSchemaVersion = customer-v7, BaseUrl = https://customer.example.test/image-api, ApiKeySecretId = 9effd604-8a0c-497c-ad48-7fb9bb405edd, DefaultModel = gpt-image-2, TimeoutSeconds = 137, IsEnabled = False, SupportsStreaming = True, SupportsToolCalling = True, SupportsStructuredOutput = True, SupportsVision = True, LastHealthCheckAtUtc = 19.07.2026 12:34:56 +00:00, LastHealthStatus = Customer image provider healthy, ExtraSettingsJson = {""configuration"":{""background"":""transparent"",""quality"":""high""},""apiKeyEnvironmentVariable"":""CUSTOM_IMAGE_API_KEY"",""providerTransport"":""ChatCompletions"",""providerPurpose"":""ImageGeneration"",""notes"":""Customer-owned image provider settings."",""tags"":[""customer"",""image""],""suggestedModels"":[""gpt-image-1-mini"",""customer-image-model-v7""],""isPrivateProvider"":true,""modelPrices"":[{""model"":""customer-image-model-v7"",""inputPerMillionTokensUsd"":1.25,""cachedInputPerMillionTokensUsd"":0.25,""outputPerMillionTokensUsd"":2.5,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true}]}, ConcurrencyToken = 82ba09be-7986-435f-b790-c579a86afca7 }
Actual:   ManagedOpenAiImageProviderState { Id = 8958fa61-4bd6-1451-8123-4e4e4fea2e26, Name = OpenAI image generation, ProviderKind = OllamaRemote, ConnectorPluginKey = provider.ollama.remote, ConfigSchemaVersion = customer-v7, BaseUrl = https://customer.example.test/image-api, ApiKeySecretId = 9effd604-8a0c-497c-ad48-7fb9bb405edd, DefaultModel = gpt-image-2, TimeoutSeconds = 137, IsEnabled = False, SupportsStreaming = True, SupportsToolCalling = True, SupportsStructuredOutput = True, SupportsVision = True, LastHealthCheckAtUtc = 19.07.2026 12:34:56 +00:00, LastHealthStatus = Customer image provider healthy, ExtraSettingsJson = {""connectorPluginKey"":""provider.openai"",""configSchemaVersion"":""1.0"",""timeoutSeconds"":600,""secretRecordId"":""86f781f1-1e76-4b45-9f1a-42b8cf13d8c7"",""apiKeyEnvironmentVariable"":""OPENAI_API_KEY"",""tags"":[""cloud"",""image"",""image-generation"",""openai""],""isPrivateProvider"":false,""modelPrices"":[{""model"":""gpt-5.6-luna"",""inputPerMillionTokensUsd"":0.20,""cachedInputPerMillionTokensUsd"":0.02,""outputPerMillionTokensUsd"":1.20,""cacheWritePerMillionTokensUsd"":0.25,""longContextThresholdTokens"":272000,""longContextInputPerMillionTokensUsd"":0.40,""longContextCachedInputPerMillionTokensUsd"":0.04,""longContextCacheWritePerMillionTokensUsd"":0.50,""longContextOutputPerMillionTokensUsd"":1.80,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.6-terra"",""inputPerMillionTokensUsd"":2.00,""cachedInputPerMillionTokensUsd"":0.20,""outputPerMillionTokensUsd"":12.00,""cacheWritePerMillionTokensUsd"":2.50,""longContextThresholdTokens"":272000,""longContextInputPerMillionTokensUsd"":4.00,""longContextCachedInputPerMillionTokensUsd"":0.40,""longContextCacheWritePerMillionTokensUsd"":5.00,""longContextOutputPerMillionTokensUsd"":18.00,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.6-sol"",""inputPerMillionTokensUsd"":4.00,""cachedInputPerMillionTokensUsd"":0.40,""outputPerMillionTokensUsd"":20.00,""cacheWritePerMillionTokensUsd"":5.00,""longContextThresholdTokens"":272000,""longContextInputPerMillionTokensUsd"":8.00,""longContextCachedInputPerMillionTokensUsd"":0.80,""longContextCacheWritePerMillionTokensUsd"":10.00,""longContextOutputPerMillionTokensUsd"":30.00,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.5"",""inputPerMillionTokensUsd"":5.00,""cachedInputPerMillionTokensUsd"":0.50,""outputPerMillionTokensUsd"":30.00,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.4"",""inputPerMillionTokensUsd"":2.50,""cachedInputPerMillionTokensUsd"":0.25,""outputPerMillionTokensUsd"":15.00,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.4-mini"",""inputPerMillionTokensUsd"":0.75,""cachedInputPerMillionTokensUsd"":0.075,""outputPerMillionTokensUsd"":4.50,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.4-nano"",""inputPerMillionTokensUsd"":0.20,""cachedInputPerMillionTokensUsd"":0.02,""outputPerMillionTokensUsd"":1.25,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5.3-codex"",""inputPerMillionTokensUsd"":1.75,""cachedInputPerMillionTokensUsd"":0.175,""outputPerMillionTokensUsd"":14.00,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""chat-latest"",""inputPerMillionTokensUsd"":5.00,""cachedInputPerMillionTokensUsd"":0.50,""outputPerMillionTokensUsd"":30.00,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-5-mini"",""inputPerMillionTokensUsd"":0.25,""cachedInputPerMillionTokensUsd"":0.025,""outputPerMillionTokensUsd"":2.00,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":true},{""model"":""gpt-image-2"",""inputPerMillionTokensUsd"":0,""cachedInputPerMillionTokensUsd"":0,""outputPerMillionTokensUsd"":0,""cacheWritePerMillionTokensUsd"":null,""longContextThresholdTokens"":null,""longContextInputPerMillionTokensUsd"":null,""longContextCachedInputPerMillionTokensUsd"":null,""longContextCacheWritePerMillionTokensUsd"":null,""longContextOutputPerMillionTokensUsd"":null,""hasConfiguredStandardPrice"":false}],""agentFrameworkProviderKind"":""OpenAi"",""providerTransport"":""Responses"",""providerPurpose"":""ImageGeneration"",""suggestedModels"":[]}, ConcurrencyToken = 82ba09be-7986-435f-b790-c579a86afca7 }"
"CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Legacy_serious_delivery_seed_agents_are_refreshed_to_the_current_baseline","True","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI chat completions' requires a model price row on the provider profile."
"CanDoItAll.Tests.Integration.Runtime.ManagedSeedExecutionFallbackIntegrationTests.Organization_catalog_repair_preserves_priced_luna_assignment_for_managed_seed_agent","True","Assert.True() Failure
Expected: True
Actual:   False"
"CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Organization_workspace_seeds_tagged_openai_and_local_ollama_provider_catalog","True","Assert.All() Failure: 4 out of 4 items in the collection did not pass.
[0]: Item:  ""gpt-5.6""
     Error: Assert.Contains() Failure: Item not found in collection
            Collection: [""gpt-5.4-mini""]
            Not found:  ""gpt-5.6""
[1]: Item:  ""gpt-5.6-luna""
     Error: Assert.Contains() Failure: Item not found in collection
            Collection: [""gpt-5.4-mini""]
            Not found:  ""gpt-5.6-luna""
[2]: Item:  ""gpt-5.6-terra""
     Error: Assert.Contains() Failure: Item not found in collection
            Collection: [""gpt-5.4-mini""]
            Not found:  ""gpt-5.6-terra""
[3]: Item:  ""gpt-5.6-sol""
     Error: Assert.Contains() Failure: Item not found in collection
            Collection: [""gpt-5.4-mini""]
            Not found:  ""gpt-5.6-sol"""
"CanDoItAll.Tests.Integration.External.PluginCatalogIntegrationTests.Plugin_grants_refresh_office365_workflow_templates_for_project_structure_add_options","True","System.InvalidOperationException: LLM Call Component 'a73aa732-97fc-4c72-9406-86b1c0ba5617' model 'gpt-5.4-mini' requires a model price row on provider 'OpenAI chat completions'.
   at CanDoItAll.Modules.AgentFramework.PersistentWorkflowCatalogService.SaveComponentAsync(LlmCallComponentSaveRequest request, CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\Modules\CanDoItAll.Modules.AgentFramework\Persistence\PersistentWorkflowStores.cs:line 645
   at CanDoItAll.Modules.AgentFramework.PersistentWorkflowCatalogService.SaveComponentAsync(LlmCallComponentSaveRequest request, CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\Modules\CanDoItAll.Modules.AgentFramework\Persistence\PersistentWorkflowStores.cs:line 700
   at CanDoItAll.Modules.AgentFramework.WorkflowExampleCatalogSeedService.EnsureComponentAsync(WorkflowTemplatePack templatePack, WorkflowTemplateDefinition template, WorkflowProviderOption provider, List`1 existingComponents, CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\Modules\CanDoItAll.Modules.AgentFramework\Catalog\WorkflowExampleCatalogSeedService.cs:line 206
   at CanDoItAll.Modules.AgentFramework.WorkflowExampleCatalogSeedService.EnsureSeededAsync(CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\Modules\CanDoItAll.Modules.AgentFramework\Catalog\WorkflowExampleCatalogSeedService.cs:line 60
   at CanDoItAll.Web.Api.PluginsApi.ToApiResultAndRefreshWorkflowTemplatesAsync[T](String pluginId, Func`2 action, IServiceScopeFactory serviceScopeFactory, CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\App\CanDoItAll.Web\Api\PluginsApi.cs:line 332
   at CanDoItAll.Web.Api.PluginsApi.ToApiResultAndRefreshWorkflowTemplatesAsync[T](String pluginId, Func`2 action, IServiceScopeFactory serviceScopeFactory, CancellationToken cancellationToken) in C:\repositories\CanDoItAll\src\App\CanDoItAll.Web\Api\PluginsApi.cs:line 332
   at CanDoItAll.Web.Api.PluginsApi.<>c.<<MapPluginsApi>b__1_8>d.MoveNext() in C:\repositories\CanDoItAll\src\App\CanDoItAll.Web\Api\PluginsApi.cs:line 132
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Http.RequestDelegateFactory.ExecuteTaskResult[T](Task`1 task, HttpContext httpContext)
   at Microsoft.AspNetCore.Http.RequestDelegateFactory.<>c__DisplayClass102_2.<<HandleRequestBodyAndCompileRequestDelegateForJson>b__2>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.<Invoke>g__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Swashbuckle.AspNetCore.SwaggerUI.SwaggerUIMiddleware.Invoke(HttpContext httpContext)
   at CanDoItAll.Web.Api.AccessContextReferenceMiddleware.InvokeAsync(HttpContext httpContext, AccessContextReferenceState state) in C:\repositories\CanDoItAll\src\App\CanDoItAll.Web\Api\AccessContextReferenceMiddleware.cs:line 17
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddlewareImpl.Invoke(HttpContext context)

HEADERS
=======
Host: 127.0.0.1:54574
Content-Type: application/json; charset=utf-8
Transfer-Encoding: chunked
"
"CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Saving_managed_agent_policy_customization_preserves_dialog_settings","True","System.InvalidOperationException : Agent model override 'gpt-5.6-luna' for provider 'OpenAI default' requires a model price row on the provider profile."
"CanDoItAll.Tests.Integration.SharedProviderBackendCheckpointIntegrationTests.Public_model_ids_route_duplicate_upstream_model_names_without_cross_routing","True","System.InvalidOperationException : Provider publication metadata property 'agentFrameworkProviderKind' is required."
"CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Stale_research_agent_seed_is_refreshed_and_drops_project_structure_capability","True","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"CanDoItAll.Tests.Integration.SharedProviderBackendCheckpointIntegrationTests.Catalog_publication_defaults_off_filters_ineligible_and_supports_sanitized_conditional_get","True","System.InvalidOperationException : Provider publication metadata property 'agentFrameworkProviderKind' is required."
"CanDoItAll.Tests.Integration.ProjectStructure.ProjectStructureAgentIntegrationTests.StartProcessNodeAsync_hr_match_skips_exact_agent_when_provider_cannot_satisfy_process_output_contract","True","System.InvalidOperationException : Agent model override 'gpt-5.6-luna' for provider 'OpenAI default' requires a model price row on the provider profile."
