item_id,item_title,note_id,note_text,mapping_rationale
I01,"Foundation: rich node schema, metadata, and compatibility",N001,Project structure,"Primary implementation home for foundation: rich node schema, metadata, and compatibility."
I01,"Foundation: rich node schema, metadata, and compatibility",N038,Requrements/Prerequisites,"Primary implementation home for foundation: rich node schema, metadata, and compatibility."
I01,"Foundation: rich node schema, metadata, and compatibility",N039,Generic node,"Primary implementation home for foundation: rich node schema, metadata, and compatibility."
I02,Common starter blocks and project structure catalog refresh,N002,Common Bloks,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N003,Deployment,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N004,Repos,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N005,Dockers,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N006,Task Flow,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N007,Backlog,Primary implementation home for common starter blocks and project structure catalog refresh.
I02,Common starter blocks and project structure catalog refresh,N008,Server,Primary implementation home for common starter blocks and project structure catalog refresh.
I03,Meeting nodes for online and onsite work,N009,Meetings,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N010,Meetings,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N011,Meeting block,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N012,Online,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N013,"Channel (enum MSTeams, Google Meet, Zoom, WhatsApp, Telegram)",Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N014,Date,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N015,"Repeating (enum per day, per week, per 2 weeks, per month)",Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N016,RightClick Menu Options,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N017,Add blocks,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N018,Add Tasks,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N019,Add progress,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N020,Add priority,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N021,Add Recording,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N022,Onsite,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N023,Address,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N024,Click to google maps,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N025,Date,Primary implementation home for meeting nodes for online and onsite work.
I03,Meeting nodes for online and onsite work,N026,Repeating and right click same as online,Primary implementation home for meeting nodes for online and onsite work.
