task_id,phase,task_title,feature_id,feature_category,feature_name
T00,P0,"Baseline capture, missing test coverage, and feature lock",F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T00,P0,"Baseline capture, missing test coverage, and feature lock",F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T00,P0,"Baseline capture, missing test coverage, and feature lock",F03,Toolbox,Toolbox search filters standard block actions
T00,P0,"Baseline capture, missing test coverage, and feature lock",F04,Toolbox,Toolbox accordion group expand/collapse
T00,P0,"Baseline capture, missing test coverage, and feature lock",F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T00,P0,"Baseline capture, missing test coverage, and feature lock",F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T00,P0,"Baseline capture, missing test coverage, and feature lock",F35,Toolbox UX,"Toolbox rows are single-line, compact, keyboard-accessible, and show the component description on hover tooltip/title"
T00,P0,"Baseline capture, missing test coverage, and feature lock",F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T00,P0,"Baseline capture, missing test coverage, and feature lock",F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T01,P0,Overlay isolation and input ownership cleanup,F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T01,P0,Overlay isolation and input ownership cleanup,F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T01,P0,Overlay isolation and input ownership cleanup,F03,Toolbox,Toolbox search filters standard block actions
T01,P0,Overlay isolation and input ownership cleanup,F04,Toolbox,Toolbox accordion group expand/collapse
T01,P0,Overlay isolation and input ownership cleanup,F13,Quick actions,Quick action dialog on double-click/open with node-specific actions
T01,P0,Overlay isolation and input ownership cleanup,F21,Exports,Export image from selected hierarchy / mindmap capture
T01,P0,Overlay isolation and input ownership cleanup,F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T01,P0,Overlay isolation and input ownership cleanup,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T01,P0,Overlay isolation and input ownership cleanup,F35,Toolbox UX,"Toolbox rows are single-line, compact, keyboard-accessible, and show the component description on hover tooltip/title"
T01,P0,Overlay isolation and input ownership cleanup,F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T02,P0,Write-behind canvas state persistence and committed-state ownership,F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T02,P0,Write-behind canvas state persistence and committed-state ownership,F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T02,P0,Write-behind canvas state persistence and committed-state ownership,F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection"
T02,P0,Write-behind canvas state persistence and committed-state ownership,F09,Selection window,"Single-select detail view with badges, quick signals, node actions, and advanced details"
T02,P0,Write-behind canvas state persistence and committed-state ownership,F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T02,P0,Write-behind canvas state persistence and committed-state ownership,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
