id,title,severity,evidence,summary,impact,recommended_subbundles
H1,"Runtime renderer is DOM/SVG-based, not a true HTML5 canvas renderer",P0,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5418-5515 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5674-5685,"The dense runtime path builds DOM and SVG layers for nodes, links, frames, and overlays. Real <canvas> drawing appears only in the image export path.","Performance issues are currently dominated by DOM churn, layout, paint, and InteractiveServer chatter, not by canvas drawing limits.",P0-03;P1-01;P1-02;P2-01;P3-01
H2,Render path fully clears key layers,P0,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1085-1086 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1195 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1638-1639 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1854 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1895 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1991 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:2106 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:2688-2703,"Links, nodes, frames, guides, anchors, transforms, and debug decorations are repeatedly torn down and rebuilt.","Simple pan, drag, zoom, and selection changes cost far more than necessary and scale poorly with graph size.",P1-01;P1-02;P1-03
H3,No meaningful viewport culling for rendered scene density,P1,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:2688-2703 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:1638-1839,The renderer iterates and rebuilds large visible sets without a strong retained-mode visibility filter.,Large graphs stay expensive even when only a small slice of the graph is on screen.,P1-02;P1-03;P2-01
H4,Overlay target detection excludes floating windows and several runtime overlays,P0,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:2515-2517 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5154-5255 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5284-5287,Event guards currently ignore only a small set of overlay selectors and do not treat floating windows/toolbox/dialog chrome as fully isolated overlay ownership.,"Clicks, double-clicks, context menus, and focus can leak from the toolbox and other overlays into the scene host.",P0-01
H5,"Wheel always zooms the canvas, including when the pointer is inside overlay content",P0,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5280-5283,The wheel handler always prevents default and applies zoom with no overlay ownership guard.,Scrollable content inside toolbox and floating windows can feel broken because wheel input is stolen by canvas zoom.,P0-01
H6,Floating window geometry publishes too often and immediately feeds persistence,P0,src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvas-floating-window.js:173-180 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvas-floating-window.js:204-223 | src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor:196-210 | src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor:257-265 | src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:1827-1859,Window drag/resize fires frequent geometry updates that immediately bubble to page state and persisted UI state.,"Floating windows trigger avoidable rerender and persistence churn, especially bad on InteractiveServer.",P0-02
H7,Canvas UI state is too chatty on InteractiveServer,P0,src/CanDoItAll.Web/Program.cs:30-34 | src/CanDoItAll.Web/Program.cs:108-110 | src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js:5587 | src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor:415-423 | src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:1321-1341,"Pan/zoom/state pings publish frequently, reach Blazor, rebuild surface state, and persist view state.",Viewport interactions are paying SignalR and DB costs that should not exist in the hot path.,P0-03;P0-07
H8,Node move persistence is N service calls plus a heavy reload,P0,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:1310-1318 | src/CanDoItAll.Modules.Workbench/ProjectWorkbenchModels.cs:562-577,"Each moved node is saved separately, followed by a full surface reload and later border-adoption logic.",Multi-select drag scales poorly and amplifies database and requery cost.,P0-04;P0-05
H9,"ReloadSurfaceAsync calls GetStructureAsync, which always calls SyncGraphAsync",P0,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:1205-1257 | src/CanDoItAll.Modules.Workbench/ProjectWorkbenchModels.cs:283-309 | src/CanDoItAll.Modules.Workbench/ProjectWorkbenchModels.cs:1017-1115,"Many mutations and refreshes re-enter the full structure load path, which in turn recomputes system-managed graph projection.",Simple mutations pay more I/O and projection work than needed; this becomes obvious on larger graphs.,P0-05;P1-04
H10,Runtime page mixes production authoring surface with support/demo cards,P0,src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:804-840 | src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor:843-889,Outline/health support and two CanvasBoundaryCard sections inflate the runtime page and blur authoring vs demo responsibilities.,The runtime DOM is larger than needed and product behavior is harder to reason about.,P0-06;P1-04;P2-02
