id,severity,bundle,phase,category,paths,observation,risk,direction,confidence
F-001,P0,core,A01,Configuration paths,src/App/CanDoItAll.Web/appsettings.Development.json | src/App/CanDoItAll.Web/Properties/launchSettings.json,Development workspace and control-plane roots are encoded as %LOCALAPPDATA%\CanDoItAll\...,Linux and macOS receive unresolved or semantically invalid roots before deeper portability work can even be exercised.,Introduce portable root defaults and explicit legacy Windows token compatibility; remove host-specific roots from shared development configuration.,Verified
F-002,P0,core,A01,Logical path normalization,src/Foundation/CanDoItAll.Infrastructure/Storage/WorkspaceStorage.cs | src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStoragePathPolicy.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathPolicy.cs,Infrastructure policies only replace Path.AltDirectorySeparatorChar while the MAF policy explicitly converts backslash. These produce different meanings on Unix.,"A persisted logical locator can resolve differently depending on the caller, causing inaccessible artifacts, duplicate records, or containment defects.",Define one logical-path contract with '/' serialization and field-specific legacy backslash readers; keep physical path parsing separate.,Verified
F-003,P0,core,A01,Path containment,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimePathResolver.cs,Containment and root de-duplication use OrdinalIgnoreCase on every operating system.,Case-sensitive filesystems can treat distinct paths as equivalent in policy while the OS treats them as different.,Use logical ordinal semantics and root-specific physical filesystem semantics; add actual Linux/macOS characterization.,Verified
F-004,P1,core,A01,External path aliases,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathPolicy.cs,External-target aliases are shaped around Windows drive letters.,Unix absolute roots cannot be represented consistently and migration between hosts becomes ambiguous.,Version a platform-neutral alias format that identifies an allowed root without embedding drive-letter assumptions.,Verified
F-005,P1,core,A01,Path taxonomy,src/Foundation/CanDoItAll.Infrastructure | src/MAF | src/Modules/CanDoItAll.Modules.Workbench,"Routes, logical locators, physical paths, executable paths, and command text are often represented as plain strings with local normalization.","A broad separator replacement can corrupt URLs, Unix filenames containing backslash, or intentionally host-bound paths.",Inventory and classify every persisted and runtime path-bearing field before implementation; apply transformations only by field type.,High
F-006,P1,core,A02,Filesystem case semantics,src/Foundation/CanDoItAll.Infrastructure/Storage | tools/App/CanDoItAll.Manager | src/MAF,"Many sets, locks, and path comparisons use OrdinalIgnoreCase globally, while some use OperatingSystem.IsWindows as a proxy for filesystem behavior.","macOS can be case-sensitive or case-insensitive by volume, and Linux paths can collide in application state despite being distinct on disk.",Use ordinal semantics for logical identifiers and a root/volume-specific physical path policy for filesystem equality.,Verified pattern
F-007,P1,core,A02,Deterministic enumeration,src/Foundation | src/MAF | tools/App/CanDoItAll.Manager,Filesystem enumeration is not uniformly ordered before producing persistent or decision-bearing results.,"Linux, Windows, and macOS may return different order, changing plans, fingerprints, receipts, tests, or agent context.",Order by normalized logical key with an explicit comparer at every decision or persistence boundary.,Requires A00 full scan
F-008,P0,core,A02,Symlink and reparse containment,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStoragePathPolicy.cs | src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureLocalFileOpener.cs,Existing reparse checks are valuable but duplicated and do not constitute a proven race-resistant cross-platform contract.,"A symlink swap or inconsistent check can escape trusted roots during read, write, open, or process execution.","Define one deny-by-default managed-root link policy, validate existing ancestors immediately before access, and document residual TOCTOU limits.",Verified design gap
F-009,P1,core,A02,Atomic persistence,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStorageDriver.cs | src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,"Several writes are direct, while other writes use temporary files with only in-process coordination.","Crashes or concurrent processes can leave truncated catalog, secret, or artifact state.","Centralize same-volume temporary write, flush, atomic replace, bounded cross-process lock, and recovery rules.",Verified
F-010,P1,core,A02,Portable filenames,src/Foundation/CanDoItAll.Infrastructure/Storage/Drivers/FileSystemStorageDriver.cs,"Filename sanitization depends on Path.GetInvalidFileNameChars, which is platform-specific.",The same artifact name can serialize to different physical names on different hosts or remain invalid after transfer.,Define an application-level portable filename policy and preserve the original display name separately.,Verified
