Priority,CurrentSource,CurrentTypeOrConcept,TargetProject,TargetNamespace,Action,Consumers,Notes
NOW,src/CanDoItAll.Mcp.DotNetWatch/Contracts/ToolContracts.cs,ToolEnvelope<T>,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Contracts,Extract and generalize to McpToolEnvelope<T>,"DotNetWatch;SshOps",Allow optional target/operation/status/summary metadata without breaking existing required fields
NOW,src/CanDoItAll.Mcp.DotNetWatch/Contracts/ToolContracts.cs,ToolError,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Contracts,Extract,"DotNetWatch;SshOps","Server-specific error codes stay local; payload type becomes shared"
NOW,src/CanDoItAll.Mcp.DotNetWatch/Contracts/ToolContracts.cs,ToolInvocationException,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Contracts,Extract,"DotNetWatch;SshOps",Keep deterministic tool-failure semantics
NOW,src/CanDoItAll.Mcp.DotNetWatch/Runtime/ServerInstanceIdentity.cs,ServerInstanceIdentity,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Identity,Extract,"DotNetWatch;SshOps",One helper for server instance ID generation
NOW,src/CanDoItAll.Mcp.DotNetWatch/Runtime/WorkspaceExecutionLock.cs,WorkspaceExecutionLock,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Concurrency,Refactor into ResourceMutationGate,"DotNetWatch;SshOps",SshOps needs per-target/per-stack locking
NOW,src/CanDoItAll.Mcp.DotNetWatch/Logging/LoggingModels.cs,LogEntry,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Observability,Extract,"DotNetWatch;SshOps",Shared log line shape and cursor semantics
NOW,src/CanDoItAll.Mcp.DotNetWatch/Logging/LoggingModels.cs,LogReadResult,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Observability,Extract,"DotNetWatch;SshOps",Shared incremental log reading
NOW,src/CanDoItAll.Mcp.DotNetWatch/Logging/LoggingModels.cs,RingLogBuffer,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Observability,Extract,"DotNetWatch;SshOps",Useful for app logs and detached operation logs
NOW,src/CanDoItAll.Mcp.DotNetWatch/Logging/LoggingModels.cs,FileLogStore,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Observability,Extract,"DotNetWatch;SshOps",SSH operation logs also need file-backed persistence
NOW,src/CanDoItAll.Mcp.DotNetWatch/Logging/LoggingModels.cs,LogRedactor,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Observability,Extract and rename to SecretRedactor,"DotNetWatch;SshOps","Unify redaction rules; avoid coupling to CanDoItAll.Infrastructure.Logging"
NOW,src/CanDoItAll.Mcp.DotNetWatch/Operations/OperationModels.cs,OperationState enum family,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Operations,Split generic async operation states,"DotNetWatch;SshOps",Keep dotnet-specific operation payloads local
NOW,src/CanDoItAll.Mcp.DotNetWatch/Operations/OperationModels.cs,OperationRegistry,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Operations,Extract generic registry shape,"DotNetWatch;SshOps",Likely becomes generic registry over derived operation records
NOW,src/CanDoItAll.Mcp.DotNetWatch/Runtime/SessionCoordinator.cs,operation wait loop,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Operations,Extract generic OperationWaitEngine,"DotNetWatch;SshOps","App wait stays dotnet-specific; operation wait becomes shared"
NOW,src/CanDoItAll.Mcp.DotNetWatch/Health/HealthServices.cs,HttpHealthProbe,CanDoItAll.Mcp.Core,CanDoItAll.Mcp.Core.Net,Split local HTTP probe helper,"DotNetWatch;SshOps",SSH remote-origin probes remain SSH-specific wrapper
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,ManagedProcessStartInfo,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",No need for SshOps
