"Category","Path","Disposition","Evidence"
"process-definition","Templates/Processes/processes/ai-assisted-change-delivery/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/app-layout-image-generation/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
"process-definition","Templates/Processes/processes/app-page-screenshot/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
"process-definition","Templates/Processes/processes/app-pages-screenshot-set/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
"process-definition","Templates/Processes/processes/architecture-decision-governance/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/blazor-app-delivery/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/blazor-app-repair-fix/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/blazor-backend-feature/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/blazor-frontend-feature/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/blazor-fullstack-feature/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/branching-code-review/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/business-plan-development/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/customer-onboarding/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/dotnet-architecture-design-review/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
