path,line_count,area,current_role,current_problem,target_split
src/CanDoItAll.Components.CanvasLib/Components/CanvasWorkbench.razor,723,Workbench runtime shell,Public Razor host for the shared workbench and JS bootstrap surface.,"Still hosts a div-based runtime stage, contains too much mixed shell/overlay logic, and needs staged real-canvas adoption.",Components/Workbench/CanvasWorkbench/CanvasWorkbench.razor + CanvasWorkbench.razor.cs + internal toolbar/settings/help partials
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvasWorkbenchInterop.js,6648,Workbench JS runtime,"Monolithic shared JS runtime for state normalization, DOM/SVG rendering, interaction, export, and bootstrap.",6648-line monolith; hard to maintain; still primarily DOM/SVG runtime; helper duplication risk.,"wwwroot/js-src/workbench/{shared,state,render,interaction,overlays,export,runtime}/** -> generated public bundle"
src/CanDoItAll.Components.CanvasLib/wwwroot/canvas-workbench.css,4324,Workbench CSS,"Global style bundle for workbench, toolbox, floating windows, diagnostics, and related primitives.",4324-line monolith with mixed concerns and unclear ownership.,"wwwroot/css-src/workbench/{shell,toolbar,stage,nodes,links,frames,minimap,diagnostics,toolbox,composer,responsive}.css -> generated bundle"
src/CanDoItAll.Components.CanvasLib/wwwroot/js/canvas-floating-window.js,545,Floating window runtime,JS runtime for drag/resize/minimize/restore geometry and window behaviors.,Needs clearer isolation of geometry-commit semantics and source split with shared helpers.,"wwwroot/js-src/floating-window/{geometry,input,interop,entry}.js -> generated public bundle"
src/CanDoItAll.Components.CanvasLib/Components/CanvasFloatingWindow.razor,297,Floating windows,Reusable Blazor floating window component used by ProjectStructure and PromptFactory.,Needs stronger input-ownership contract and possibly partial code-behind split for maintainability.,Components/Shared/FloatingWindow/CanvasFloatingWindow.razor + CanvasFloatingWindow.razor.cs
src/CanDoItAll.Components.CanvasLib/Canvas/CanvasWorkbenchContracts.cs,495,Shared typed contracts,"Public typed contracts for shared workbench surface, nodes, links, windows, and events.",Must remain API-stable while internals change; needs relocation into clearer Workbench/Contracts area.,Canvas/Workbench/Contracts/** (no public API break unless intentionally versioned)
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor,1808,Primary consumer page,"Main ProjectStructure page markup, workbench hosting, windows, dialogs, and interaction callbacks.","1808 lines; toolbox, dialogs, and host callbacks are too interleaved; still performs expensive reloads and eager persistence in key paths.",Keep host page lean; move toolbox/health/selection/dialogs into child components and more code-behind partials
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.razor.css,823,ProjectStructure page styles,"Page-scoped styles for toolbox windows, dialogs, support cards, and page-level layout.",823 lines and mixes page layout with toolbox-specific styling that should move to dedicated components or shared CanvasLib fragments.,Dedicated component-scoped CSS for toolbox/health/selection/dialogs plus lean page layout CSS
src/CanDoItAll.Modules.Workbench/Pages/ProjectStructurePage.ToolWindows.cs,138,Tool window logic,Floating window state and toolbox group/search helpers.,Current accordion toggle semantics are incomplete and toolbox behavior is not fully isolated or accessible.,ProjectStructureToolboxWindow component code-behind + shared toolbox state helper
src/CanDoItAll.Modules.Factory/Pages/PromptFactoryPage.razor,3212,Shared-canvas secondary consumer,"PromptFactory page using CanvasWorkbench, floating windows, and preview support lane.",3212 lines; shared-canvas callbacks still eagerly persist state; must remain compatible during renderer migration.,Keep page API stable but split windows/support lane and shared callback logic into partials/components
src/CanDoItAll.Web/Components/App.razor,76,Primary app asset includes,App shell script/style includes for runtime surfaces.,Manual duplicated script list leads to drift risk.,Use centralized CanvasLib asset include component/helper
src/CanDoItAll.Components.Sandbox/Components/App.razor,60,Sandbox asset includes,Sandbox shell script/style includes for preview and benchmark surfaces.,Duplicates long CanvasLib include list from web app.,Use centralized CanvasLib asset include component/helper
src/CanDoItAll.Components.Sandbox/Components/Pages/CanvasBenchmark.razor,269,Benchmark evidence surface,Sandbox comparison between retained preview and true-canvas prototype behavior.,Useful evidence harness but not yet wired as a migration gate.,Keep as benchmark page; add test/metrics role documentation and artifact capture
src/CanDoItAll.Modules.Workbench/Components/ProjectStructureCanvas.razor,81,Legacy canvas reference,Older real-canvas implementation used before shared CanvasWorkbench path.,Now disconnected from the current runtime; should be documented as reference or retired safely after migration.,Quarantine under legacy/reference area or remove after migration proof
src/CanDoItAll.Modules.Workbench/wwwroot/js/workbenchInterop.js,884,Legacy canvas JS reference,Older ProjectStructure-specific real-canvas JS interop file.,"Potentially useful reference for stage design and export patterns, but conceptually confusing if left undocumented.",Legacy/reference location or deletion after safe migration and documentation
