id,priority,owner,area,hotspots,exit_proof
MR-P0-001,P0,M01,Process persistence,src/Processes/CanDoItAll.Processes.Builder/ProcessPlanHasher.cs; src/Processes/CanDoItAll.Processes.Persistence/ProcessInstancePlanPersistenceMapper.cs,Legacy hash fixture verifies or enters typed non-executable state; no empty-capability weakening
MR-P0-002,P0,M02,FileTools provenance,Directory.Build.targets; src/Integration/CanDoItAll.FileTools.Integration/ConfiguredDesktopFileLauncher.cs; sibling CanDoItAll.FileTools,Clean package graph; explicit anchored source graph; no dirty-state dependency
MR-P0-003,P0,M03,Process lifecycle,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs,Root-exits-first child fixture leaves zero descendants on Windows/Linux
MR-P1-004,P1,M04,MCP,src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpJsonRpcConnection.cs,Ping-before-response succeeds; unsupported peer request bounded
MR-P1-005,P1,M05,Docker plugin,src/plugins/Implementations/CanDoItAll.Plugin.Docker/DockerHostToolService.cs,Malformed recipes fail; count/length limits tested
MR-P1-006,P1,M06,Paths,src/Foundation/CanDoItAll.Infrastructure/Storage/WorkspaceStorage.cs,Workspace symlink to outside is rejected by central guard
MR-P1-007,P1,M06,Executable resolution,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceExecutableLocator.cs,Current identity X_OK and bounded PATHEXT proof
MR-P1-008,P1,M05,Docker workflow,compose.yaml; .github/workflows/ci.yml; tools/Validation/Test-Docker.ps1,Fresh checkout creates disposable secret and stack validates
MR-P1-009,P1,M07,Validation,tools/Validation/Test-RuntimePortability.ps1,Stale build rejected; FQN catalog complete
MR-P1-010,P1,M07/M10,Evidence,codex/bundles/Unix-portability/**,All canonical records share exact candidate anchor/status
MR-P1-011,P1,M00,Repository hygiene,.local/share/NuGet/Migrations/1,Tracked artifact removed and ignored
