user_story_id,category,summary,primary_subbundles,related_canDoItAll_areas,validation_layers
DIR-01,DIR,"As a business director, I can create one unified party record for a person, organization, organization unit, or AI agent so CRM and HR do not split the same real-world actor across modules.",B01; B09,Module composition and startup,component; integration; playwright
DIR-02,DIR,"As an operations lead, I can classify one party with multiple roles such as customer, partner, employee, contractor, delivery unit, or AI agent owner so the same record can participate in different contexts.",B01; B09,,component; integration; playwright
DIR-03,DIR,"As an account manager, I can search the directory by name, role, tag, status, email, phone, and company so I can find the right record quickly.",B02,BaseLib UI components,component; playwright
DIR-04,DIR,"As a people ops manager, I can archive and reactivate parties without deleting historical references so project, CRM, and HR history stays intact.",B01,,integration
DIR-05,DIR,"As a sales lead, I can store legal name, display name, preferred name, and external identifiers on a party so the record matches contractual and operational reality.",B01,,integration
DIR-06,DIR,"As a delivery manager, I can register multiple contact methods for one party so teams can see email, phone, messaging, and web contact points in one place.",B03,,component; integration; playwright
DIR-07,DIR,"As an office manager, I can maintain billing, legal, work, and shipping addresses per party so the app can support normal enterprise operations.",B03,,component; integration; playwright
DIR-08,DIR,"As a team lead, I can assign tags and classifications such as region, department, capability, and strategic segment so the registry is filterable.",B03,,component; integration; playwright
DIR-09,DIR,"As an org designer, I can create parent-child and peer relationships between organizations and units so the module can represent legal entities and delivery structures.",B03,,component; integration; playwright
DIR-10,DIR,"As an HR manager, I can define reporting and membership relationships between people and units so org structure and manager chains are explicit.",B03,,component; integration; playwright
DIR-11,DIR,"As a CRM administrator, I can detect and merge duplicate parties so email history, opportunities, and assignments converge on one source of truth.",B03,,component; integration; playwright
DIR-12,DIR,"As a data steward, I can import parties from CSV without losing validation feedback so bulk onboarding is practical.",B03,,component; integration; playwright
DIR-13,DIR,"As a data steward, I can export filtered party lists so business users can share snapshots or audit the directory.",B03,,component; integration; playwright
DIR-14,DIR,"As a project manager, I can see a party activity timeline so I understand the latest interactions, assignments, and changes before acting.",B02; B04; B11,Activity and global search,component; integration; playwright
DIR-15,DIR,"As an executive assistant, I can open a party directly from global search so the directory behaves as a first-class application surface.",B02; B11,Activity and global search; Shell navigation and workspace,component; integration; playwright
DIR-16,DIR,"As a portfolio manager, I can model a delivery unit as an organization or organization unit instead of an employee so the system supports company-based delivery.",B01; B06,,component; integration; playwright
DIR-17,DIR,"As a solution architect, I can attach freeform notes and structured metadata to a party so edge cases do not force schema hacks.",B01,,integration
DIR-18,DIR,"As a compliance lead, I can flag records that contain sensitive data so downstream screens treat them carefully.",B01; B12,,component; integration; playwright
DIR-19,DIR,"As a support lead, I can see who last changed a party and when so ownership and accountability are visible.",B01; B12,,component; integration; playwright
DIR-20,DIR,"As a module owner, I can extend party records with future custom fields without redesigning the entire schema so the module can evolve safely.",B01,,integration
CRM-01,CRM,"As a sales manager, I can create customer and prospect accounts from the unified directory so commercial work starts from the same party model as HR and projects.",B04,,component; playwright
CRM-02,CRM,"As an account manager, I can link multiple contacts and stakeholders to an account so I know who influences delivery and purchasing.",B04,,component; playwright
CRM-03,CRM,"As a sales manager, I can set relationship stage such as prospect, active customer, dormant customer, or lost customer so pipeline reporting is meaningful.",B04,,component; playwright
CRM-04,CRM,"As an account executive, I can log meetings, calls, emails, and messages against accounts and contacts so relationship history is preserved.",B04,,component; playwright
CRM-05,CRM,"As an account executive, I can capture next actions with owner and due date so follow-up commitments do not disappear.",B04,,component; playwright
CRM-06,CRM,"As a sales director, I can maintain an opportunity with stage, value, probability, and expected close date so forecast conversations have structured data.",B05,,component; integration; playwright
CRM-07,CRM,"As a pre-sales lead, I can link one opportunity to multiple parties such as customer, partner, internal sponsor, and delivery unit so pursuit structure is explicit.",B05,,component; integration; playwright
CRM-08,CRM,"As a sales director, I can move opportunities through a pipeline so teams have a common operating model.",B05,,component; integration; playwright
CRM-09,CRM,"As an account executive, I can record lost reason and competitor context when an opportunity closes unsuccessfully so the business can learn.",B05,,component; integration; playwright
CRM-10,CRM,"As an account manager, I can convert a won opportunity into a project context without retyping customer, partner, and delivery unit data so handoff is fast and accurate.",B05,,component; integration; playwright
CRM-11,CRM,"As a finance coordinator, I can mark billing contact and contract contact roles on an account so invoicing and approvals go to the right people.",B04,,component; playwright
CRM-12,CRM,"As a delivery director, I can see account manager, delivery lead, and sponsor roles on an account so ownership is clear.",B04,,component; playwright
CRM-13,CRM,"As a partnership manager, I can mark partner-sourced opportunities and partner contribution so channel business is visible.",B05,,component; integration; playwright
CRM-14,CRM,"As a consultant, I can review interaction history before a customer meeting so I enter the conversation with context.",B04,,component; playwright
