user_story_id,category,persona,priority,story
DIR-01,DIR,business director,High,"As a business director, I can create one unified party record for a person, organization, organization unit, or AI agent so CRM and HR do not split the same real-world actor across modules."
DIR-02,DIR,operations lead,High,"As an operations lead, I can classify one party with multiple roles such as customer, partner, employee, contractor, delivery unit, or AI agent owner so the same record can participate in different contexts."
DIR-03,DIR,account manager,High,"As an account manager, I can search the directory by name, role, tag, status, email, phone, and company so I can find the right record quickly."
DIR-04,DIR,people ops manager,High,"As a people ops manager, I can archive and reactivate parties without deleting historical references so project, CRM, and HR history stays intact."
DIR-05,DIR,sales lead,High,"As a sales lead, I can store legal name, display name, preferred name, and external identifiers on a party so the record matches contractual and operational reality."
DIR-06,DIR,delivery manager,High,"As a delivery manager, I can register multiple contact methods for one party so teams can see email, phone, messaging, and web contact points in one place."
DIR-07,DIR,office manager,High,"As an office manager, I can maintain billing, legal, work, and shipping addresses per party so the app can support normal enterprise operations."
DIR-08,DIR,team lead,High,"As a team lead, I can assign tags and classifications such as region, department, capability, and strategic segment so the registry is filterable."
DIR-09,DIR,org designer,High,"As an org designer, I can create parent-child and peer relationships between organizations and units so the module can represent legal entities and delivery structures."
DIR-10,DIR,hr manager,High,"As an HR manager, I can define reporting and membership relationships between people and units so org structure and manager chains are explicit."
DIR-11,DIR,crm administrator,High,"As a CRM administrator, I can detect and merge duplicate parties so email history, opportunities, and assignments converge on one source of truth."
DIR-12,DIR,data steward,High,"As a data steward, I can import parties from CSV without losing validation feedback so bulk onboarding is practical."
DIR-13,DIR,data steward,High,"As a data steward, I can export filtered party lists so business users can share snapshots or audit the directory."
DIR-14,DIR,project manager,High,"As a project manager, I can see a party activity timeline so I understand the latest interactions, assignments, and changes before acting."
DIR-15,DIR,executive assistant,High,"As an executive assistant, I can open a party directly from global search so the directory behaves as a first-class application surface."
DIR-16,DIR,portfolio manager,High,"As a portfolio manager, I can model a delivery unit as an organization or organization unit instead of an employee so the system supports company-based delivery."
DIR-17,DIR,solution architect,High,"As a solution architect, I can attach freeform notes and structured metadata to a party so edge cases do not force schema hacks."
DIR-18,DIR,compliance lead,High,"As a compliance lead, I can flag records that contain sensitive data so downstream screens treat them carefully."
DIR-19,DIR,support lead,High,"As a support lead, I can see who last changed a party and when so ownership and accountability are visible."
DIR-20,DIR,module owner,High,"As a module owner, I can extend party records with future custom fields without redesigning the entire schema so the module can evolve safely."
CRM-01,CRM,sales manager,High,"As a sales manager, I can create customer and prospect accounts from the unified directory so commercial work starts from the same party model as HR and projects."
CRM-02,CRM,account manager,High,"As an account manager, I can link multiple contacts and stakeholders to an account so I know who influences delivery and purchasing."
CRM-03,CRM,sales manager,High,"As a sales manager, I can set relationship stage such as prospect, active customer, dormant customer, or lost customer so pipeline reporting is meaningful."
CRM-04,CRM,account executive,High,"As an account executive, I can log meetings, calls, emails, and messages against accounts and contacts so relationship history is preserved."
CRM-05,CRM,account executive,High,"As an account executive, I can capture next actions with owner and due date so follow-up commitments do not disappear."
CRM-06,CRM,sales director,High,"As a sales director, I can maintain an opportunity with stage, value, probability, and expected close date so forecast conversations have structured data."
CRM-07,CRM,pre-sales lead,High,"As a pre-sales lead, I can link one opportunity to multiple parties such as customer, partner, internal sponsor, and delivery unit so pursuit structure is explicit."
CRM-08,CRM,sales director,High,"As a sales director, I can move opportunities through a pipeline so teams have a common operating model."
CRM-09,CRM,account executive,High,"As an account executive, I can record lost reason and competitor context when an opportunity closes unsuccessfully so the business can learn."
CRM-10,CRM,account manager,High,"As an account manager, I can convert a won opportunity into a project context without retyping customer, partner, and delivery unit data so handoff is fast and accurate."
CRM-11,CRM,finance coordinator,High,"As a finance coordinator, I can mark billing contact and contract contact roles on an account so invoicing and approvals go to the right people."
CRM-12,CRM,delivery director,High,"As a delivery director, I can see account manager, delivery lead, and sponsor roles on an account so ownership is clear."
CRM-13,CRM,partnership manager,High,"As a partnership manager, I can mark partner-sourced opportunities and partner contribution so channel business is visible."
CRM-14,CRM,consultant,High,"As a consultant, I can review interaction history before a customer meeting so I enter the conversation with context."
CRM-15,CRM,sales operations analyst,High,"As a sales operations analyst, I can filter opportunities by stage, owner, delivery unit, partner, and customer so the pipeline is explorable."
CRM-16,CRM,account manager,High,"As an account manager, I can maintain renewal and upsell opportunities separately from net-new work so account growth is visible."
CRM-17,CRM,commercial lead,High,"As a commercial lead, I can store commercial notes, constraints, and timing risks on an opportunity so pursuits are actionable."
CRM-18,CRM,business director,High,"As a business director, I can see account summaries and open opportunities from the CRM/HR home screen so I do not have to reconstruct pipeline from projects."
CRM-19,CRM,sales assistant,High,"As a sales assistant, I can search across opportunities and accounts from one CRM workspace so navigation is fast."
CRM-20,CRM,commercial operations lead,High,"As a commercial operations lead, I can receive reminders for overdue next actions so opportunities do not stall silently."
CRM-21,CRM,vendor manager,High,"As a vendor manager, I can manage partner and vendor organizations in the same registry as customers so external company handling is unified."
CRM-22,CRM,delivery manager,High,"As a delivery manager, I can see primary customer, partner, and sponsor data on project-related surfaces so operational teams stay commercially aware."
CRM-23,CRM,account manager,High,"As an account manager, I can convert a prospect account into an active customer without creating a duplicate record so lifecycle changes stay on the same party."
CRM-24,CRM,sales director,High,"As a sales director, I can view stage history and recent movement on opportunities so forecast quality and stagnation are visible."
HR-01,HR,people ops manager,High,"As a people ops manager, I can create an employee profile from the unified party model so one person can exist in HR, CRM, and projects at the same time."
HR-02,HR,people ops manager,High,"As a people ops manager, I can create contractor and freelancer profiles with separate employment metadata so external workforce handling is explicit."
HR-03,HR,delivery director,High,"As a delivery director, I can create delivery units and internal teams as parties so staffing can use organizations as well as people."
HR-04,HR,hr manager,High,"As an HR manager, I can assign manager relationships and home unit membership so org structure is maintained."
HR-05,HR,hr manager,High,"As an HR manager, I can store start date, end date, employment type, and lifecycle state so workforce records reflect reality."
HR-06,HR,hr manager,High,"As an HR manager, I can maintain job title, discipline, seniority, and location so staffing data is useful."
HR-07,HR,capability lead,High,"As a capability lead, I can maintain a person’s skills so staffing and delivery planning can search by competence."
HR-08,HR,capability lead,High,"As a capability lead, I can record skill proficiency so staffing decisions are not binary."
HR-09,HR,capability lead,High,"As a capability lead, I can record certifications and important qualifications so regulated or specialized work can find compliant people."
HR-10,HR,resource manager,High,"As a resource manager, I can record capacity and default weekly availability so bench and load views are grounded."
HR-11,HR,resource manager,High,"As a resource manager, I can block leave, partial availability, and unavailability windows so plans reflect real capacity."
HR-12,HR,resource manager,High,"As a resource manager, I can see who is on the bench or nearing availability so I can staff new work."
HR-13,HR,project manager,High,"As a project manager, I can request staffing from HR with desired role, skills, dates, and allocation so demand is structured."
HR-14,HR,resource manager,High,"As a resource manager, I can allocate a person or delivery unit to a project with a percentage and dates so staffing commitments are explicit."
HR-15,HR,delivery manager,High,"As a delivery manager, I can see current and future allocations for a person, contractor, or delivery unit so overloads are visible."
HR-16,HR,people ops manager,High,"As a people ops manager, I can mark a primary delivery unit or home team for a worker so reporting lines and staffing ownership are clear."
HR-17,HR,finance partner,High,"As a finance partner, I can store internal cost rate and external billing-rate range for a worker or delivery unit so staffing economics are visible without becoming a payroll system."
HR-18,HR,delivery lead,High,"As a delivery lead, I can search workforce by skill, location, seniority, and availability so I can assemble delivery teams faster."
HR-19,HR,recruiter,High,"As a recruiter, I can create a candidate record in the same unified registry so future employees and contractors do not start in a disconnected tool."
HR-20,HR,recruiter,High,"As a recruiter, I can track candidate stage from sourced to hired or rejected so recruitment progress is visible."
HR-21,HR,recruiter,High,"As a recruiter, I can schedule interviews and record interview dates so hiring coordination is structured."
HR-22,HR,hiring manager,High,"As a hiring manager, I can capture interview feedback and recommendation so decision quality is documented."
HR-23,HR,people ops manager,High,"As a people ops manager, I can convert a hired candidate into an employee or contractor profile so recruiting handoff is seamless."
HR-24,HR,people ops manager,High,"As a people ops manager, I can create onboarding tasks with owner and due date so new joiners do not rely on ad hoc follow-up."
HR-25,HR,people ops manager,High,"As a people ops manager, I can create offboarding tasks with owner and due date so exits are controlled."
HR-26,HR,mentor coordinator,High,"As a mentor coordinator, I can assign manager, buddy, or mentor relationships for onboarding so support roles are visible."
HR-27,HR,it coordinator,High,"As an IT coordinator, I can track access and equipment checklist items during onboarding or offboarding so delivery readiness is observable."
HR-28,HR,people ops manager,High,"As a people ops manager, I can keep HR-only notes separate from general party notes so sensitive information is handled more carefully."
HR-29,HR,vendor manager,High,"As a vendor manager, I can represent a subcontractor company and the individual subcontractor separately so commercial and operational relationships are not blurred."
HR-30,HR,delivery director,High,"As a delivery director, I can reuse one person as employee, candidate, customer stakeholder, or partner contact when reality requires it so duplication does not grow."
HR-31,HR,resource manager,High,"As a resource manager, I can assign a company or unit instead of a named person to early staffing placeholders so rough planning can start before individuals are known."
HR-32,HR,delivery director,High,"As a delivery director, I can see demand versus available capacity by team or delivery unit so staffing risks surface early."
HR-33,HR,people ops analyst,High,"As a people ops analyst, I can search for expiring assignments, onboarding items, and contract end dates so HR follow-up becomes proactive."
HR-34,HR,hr manager,High,"As an HR manager, I can reactivate former workers or contractors when they return so historical context is preserved."
HR-35,HR,project manager,High,"As a project manager, I can view allocated people and units per project from the HR side so staffing ownership is bidirectional."
HR-36,HR,capability lead,High,"As a capability lead, I can group workers by discipline and capability area so capability health is reviewable."
AI-01,AI,ai operations lead,High,"As an AI operations lead, I can register an AI agent as a first-class party so the app can assign and report on agents like people or companies."
AI-02,AI,ai operations lead,High,"As an AI operations lead, I can link an AI agent profile to a Workspace provider profile and default model so operational configuration is connected to the directory."
AI-03,AI,solution architect,High,"As a solution architect, I can record agent capabilities, limitations, tool access, and scope so assignments are safe and understandable."
AI-04,AI,delivery lead,High,"As a delivery lead, I can assign a human owner or steward to an AI agent so accountability exists."
AI-05,AI,project manager,High,"As a project manager, I can assign an AI agent to a project, work item, or meeting follow-up so blended teams are supported."
AI-06,AI,quality lead,High,"As a quality lead, I can capture validation notes and latest review status for an AI agent so risky agents are visible."
AI-07,AI,workspace administrator,High,"As a workspace administrator, I can distinguish local, remote, and third-party agents so infrastructure and risk posture are explicit."
AI-08,AI,delivery lead,High,"As a delivery lead, I can search agents in the same directory and assignment flows as people so blended staffing stays unified."
PRJ-01,PRJ,project manager,High,"As a project manager, I can assign primary customer, partner, and delivery unit to a project so project context is commercially and operationally complete."
PRJ-02,PRJ,project manager,High,"As a project manager, I can assign people, contractors, companies, and AI agents to a project so project staffing is unified."
PRJ-03,PRJ,project manager,High,"As a project manager, I can assign responsibility for a project structure delivery node so the workbench shows who is expected to deliver it."
PRJ-04,PRJ,project manager,High,"As a project manager, I can choose meeting participants from the unified directory so meetings reference real parties."
PRJ-05,PRJ,project manager,High,"As a project manager, I can indicate with whom a meeting happens such as customer, partner, team, or AI agent so the structure reflects real collaboration."
PRJ-06,PRJ,project manager,High,"As a project manager, I can assign work items from the unified directory so assignee data is reusable across project and HR views."
PRJ-07,PRJ,project manager,High,"As a project manager, I can create a project participant node from an existing party or create a new party from the node flow so local workbench and central registry stay connected."
PRJ-08,PRJ,project manager,High,"As a project manager, I can decide whether a participant node is centrally synced or project-local so edge cases do not block work."
PRJ-09,PRJ,project manager,High,"As a project manager, I can see related customer, partner, delivery team, and AI agents on project overview screens so context is visible without opening the CRM/HR module first."
PRJ-10,PRJ,portfolio manager,High,"As a portfolio manager, I can filter projects by customer, delivery unit, account manager, or key stakeholder so portfolio review is relationship-aware."
PRJ-11,PRJ,sales lead,High,"As a sales lead, I can convert an opportunity to a project while preserving linked parties and history so handoff does not fragment data."
PRJ-12,PRJ,quality lead,High,"As a quality lead, I can link validation runs and test plans to responsible parties so accountability is clear."
PRJ-13,PRJ,resource owner,High,"As a resource owner, I can link resources to owning or maintaining parties so operational ownership is visible."
PRJ-14,PRJ,resource manager,High,"As a resource manager, I can have project allocations automatically influence HR capacity views so assignments have real staffing impact."
PRJ-15,PRJ,prompt engineer,High,"As a prompt engineer, I can reuse the same AI agent record in prompt, project, and staffing flows so agent identities stay consistent."
PRJ-16,PRJ,meeting facilitator,High,"As a meeting facilitator, I can pull project-linked parties into meeting defaults so recurring collaboration setup is faster."
X-01,X,platform owner,High,"As a platform owner, I can add CRM / HR as a shell module with nested routes so it feels native inside CanDoItAll."
X-02,X,platform owner,High,"As a platform owner, I can index parties, interactions, opportunities, workforce records, and agent profiles in global search so the module is discoverable."
X-03,X,platform owner,High,"As a platform owner, I can write activity entries for major CRM/HR changes so the timeline reflects relationship work."
X-04,X,ui architect,High,"As a UI architect, I can implement the module with BaseLib and standard HTML only so the CRM/HR experience stays outside canvas concerns."
X-05,X,platform owner,High,"As a platform owner, I can create and seed the CRM/HR schema automatically on startup so local environments remain simple."
X-06,X,test lead,High,"As a test lead, I can validate the module with unit, component, integration, and Playwright tests so regression risk stays manageable."
X-07,X,test lead,High,"As a test lead, I can require screenshot-based semantic review for UI changes so visual issues are not missed by passing tests."
X-08,X,platform owner,High,"As a platform owner, I can seed default opportunity stages, relationship stages, and other lookup values so the module works immediately after startup."
X-09,X,data steward,High,"As a data steward, I can use archive and safe-delete rules so historical relationships are not broken by aggressive cleanup."
X-10,X,compliance lead,High,"As a compliance lead, I can protect sensitive HR and personal data from overexposure in search and broad list screens so privacy risk is reduced."
X-11,X,compliance lead,High,"As a compliance lead, I can audit important CRM/HR changes so the module is reviewable."
X-12,X,data steward,High,"As a data steward, I can import and export without corrupting duplicate handling or key relationships so bulk operations remain safe."
X-13,X,platform owner,High,"As a platform owner, I can keep core screens performant with large directories so the module scales beyond toy usage."
X-14,X,architect,High,"As an architect, I can extend the module with JSON-backed flex fields where appropriate so future requirements do not force schema explosions."
X-15,X,automation owner,High,"As an automation owner, I can trigger reminders and onboarding follow-up jobs from CRM/HR data so the module participates in operational automation."
X-16,X,qa inspector,High,"As a QA inspector, I can trace every user story to an implementation bundle, validation step, and evidence expectation so execution stays accountable."
