Phase,Item,Owner,Priority,Status,Acceptance signal
B01,Add step-level ProcessExecutionObservationQuery filtering,Codex,P0,Not started,Blocked step observation found by exact run+step id
B01,Fallback operator diagnostics to StrategyResultReceipt,Codex,P0,Not started,No AF summary still yields concrete diagnostic
B01,Create BlockedStepPacket builder,Codex,P0,Not started,Rework prompt includes exact step/run/diagnostic/artifact data
B02,Introduce runtime-owned ParentSubprocessArtifactBridge,Codex,P0,Not started,Accepted child output creates parent evidence
B02,Stop normal agent execution for runtime-owned subprocess steps,Codex,P0,Not started,No ExecuteRunAsync call when coordinator can defer/complete/block
B02,Propagate child no-go output as parent blocker,Codex,P0,Not started,setup-repair-escalation shown as concrete blocker
B03,Add semantic artifact descriptors,Codex,P1,Not started,Prompt names artifact key/title/ref
B03,Use content hash of managed artifact for ProducedArtifactRef,Codex,P1,Not started,Stable artifact id/hash from managed file content
B03,Fix artifact ledger to use appliedResult,Codex,P1,Not started,Downgraded result does not ledger invalid artifacts
B04,Add exact composed runtime tool preflight,Codex,P1,Not started,Missing/denied tool blocks before agent execution
B05,Persist structured process outcome in ResultSummary,Codex,P1,Not started,Operator diagnostics parse JSON result summary
B06,Add SubprocessContract to prepare-solution-skeleton,Codex,P1,Not started,Initial and repaired handoffs accepted via metadata
B06,Disable or type manual skip,Codex,P1,Not started,Manual skip cannot bypass required evidence
B07,Add parent/child subprocess regression tests,Codex,P0,Not started,Tests cover active/accepted/no-go/missing child evidence
B07,Add observation truncation regression test,Codex,P0,Not started,TakePerRun cannot hide blocked step diagnostics
