hotspot_id,hotspot,severity,evidence,impact,target_tasks
H01,"Runtime workbench scene is still DOM/SVG, not real canvas",critical,CanvasWorkbench.razor:121-126 hosts a div; canvasWorkbenchInterop.js:6018-6121 builds div/svg layers; real canvas appears only in export path at canvasWorkbenchInterop.js:6254-6290.,"High DOM count, layout/reflow cost, SVG path churn, limited dense-scene headroom.",T10;T11;T12;T13;T14;T15
H02,Move flow still triggers full ReloadSurfaceAsync,critical,ProjectStructurePage.razor:952-965 batches persistence correctly but still calls ReloadSurfaceAsync after move.,Dense graphs pay unnecessary full graph reload and rebuild cost after every drag commit.,T03;T15
H03,View-state persistence remains on the hot path,critical,"ProjectStructurePage.razor:968-995, 1316-1330, 1426-1440 eagerly save state; PromptFactoryPage.razor:2867-2898 does the same.","InteractiveServer chatter, extra DB writes, surface refresh churn, latency spikes.",T02;T16
H04,Overlay input isolation is incomplete,high,canvasWorkbenchInterop.js:3038-3041 overlay selector does not cover floating windows/toolbox; wheel handler at 5880-5883 always zooms.,Broken toolbox expand/collapse and accidental canvas zoom while using overlays.,T00;T01;T04;T05
H05,Toolbox behavior and layout are incomplete,high,ProjectStructurePage.razor:160-170 renders two-line rows with no tooltip; ProjectStructurePage.ToolWindows.cs:83-91 cannot toggle closed on second click; Playwright coverage misses true accordion behavior.,Broken authoring flow and poor usability on a primary surface.,T00;T04;T05
H06,canvasWorkbenchInterop.js is a 6648-line monolith,high,"One file owns normalization, renderers, input, context menu, export, and bootstrap.","Hard maintenance, review risk, helper duplication, hard-to-localize regressions.",T06;T07;T08
H07,canvas-workbench.css is a 4324-line monolith,high,"Shared scene styles, toolbox, floating windows, diagnostics, and component-specific rules live together.",Styling drift and unclear ownership boundaries.,T07;T08
H08,ProjectStructurePage markup and CSS remain extremely large,high,ProjectStructurePage.razor is 1808 lines and ProjectStructurePage.razor.css is 823 lines even after previous bundle work.,Difficult to reason about page-specific features and regressions.,T04;T05;T08;T15
H09,App asset includes are duplicated and manual,medium,Web App.razor:25-70 and Sandbox App.razor:17-56 each hard-code long CanvasLib script lists.,"Drift risk, missing script regressions, and extra maintenance cost.",T06;T07;T17
H10,Preview-boundary components are mixed conceptually with runtime renderer code,medium,Tiny boundary JS shims exist in CanvasLib and are loaded globally; PromptFactory support lane uses several preview components while runtime workbench uses different code paths.,Confusion about what is runtime versus preview/demo support.,T06;T07;T09;T16
H11,PromptFactory is a second shared-canvas consumer with its own hot-path persistence issues,high,PromptFactoryPage.razor:2867-2898 eagerly persists UI state and refreshes the surface on shared callbacks.,Shared-canvas refactors can regress PromptFactory or leave its performance path behind.,T02;T16
H12,Legacy real-canvas ProjectStructureCanvas exists but is disconnected from the current runtime,medium,ProjectStructureCanvas.razor and workbenchInterop.js use real canvas but ProjectStructurePage now uses CanvasWorkbench.,"Useful reference implementation, but also architectural confusion if left undocumented.",T09;T10;T17
H13,CanvasBenchmark exists but is not yet the authoritative migration evidence harness,medium,"CanvasBenchmark.razor already compares retained preview and true-canvas prototype, but no rollout gate consumes it.",Renderer decisions risk being intuition-driven rather than measured.,T00;T10;T15;T17
H14,Export pipeline still assumes DOM clone instead of renderer-owned composition,medium,CanvasWorkbench.CaptureImageAsync delegates to exportImageData; current export path clones workbench DOM and paints through foreignObject/canvas.,Export will become fragile or misleading once runtime scene layers move to real canvas unless rewritten.,T14;T15
