field_id,source_path,type,writer,readers,persisted,format_version,current_example_redacted,comparison,trust_boundary,migration_owner,host_bound,status,notes
CFG-001,src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs,physical-root configuration,IConfiguration,WorkspacePathResolver and storage bootstrap,no,config-v1,.artifacts/workspace,host filesystem semantics,operator configuration,A01/A03,yes,Classified,Portable default but a configured absolute value is host-bound
CFG-002,src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs,logical folder names,IConfiguration,WorkspaceStorage and evidence/export services,no,config-v1,managed-files|exports|evidence,ordinal logical segments,operator configuration,A01,no,Classified,Must serialize with slash-independent segment semantics
CFG-003,src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs,physical control-plane root,IConfiguration,ControlPlanePaths and Data Protection,no,config-v1,<application-data>/CanDoItAll,host filesystem semantics,operator configuration,A03,yes,Classified,Requires platform application-data root policy
CFG-004,src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs,HTTP URL,IConfiguration,Manager client,no,config-v1,http://127.0.0.1:<port>,URI semantics,operator configuration,A06,no,Classified,Not a filesystem path
CFG-005,src/App/CanDoItAll.Web/appsettings.Development.json,physical roots and database endpoint,developer configuration,Web composition and Infrastructure,no,config-v1,<redacted-development-values>,host filesystem and URI semantics,developer trust,A01/A06,yes,Classified,Windows environment syntax and plaintext development credential require removal
CFG-006,src/App/CanDoItAll.Web/Properties/launchSettings.json,physical roots and desktop-launch flag,developer profile,Web host,no,launch-profile-v1,<redacted-development-values>,host filesystem semantics,developer trust,A01/A06,yes,Classified,Must not define Windows-only roots as portable defaults
CP-001,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileModels.cs,physical workspace root,DatabaseProfileControlPlaneService,DatabaseProfileControlPlaneService and host composition,yes,database-profile-json-v1,<host-root>,host filesystem semantics,control-plane administrator,A03,yes,Classified,Migration needs source-host validation and rollback
CP-002,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileModels.cs,runtime physical root override,request/control-plane API,host composition,no,runtime-override-v1,<host-root>,host filesystem semantics,authenticated administrator,A03,yes,Classified,Must not be serialized as a portable logical path
CP-003,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/FileApplicationPreferences.cs,executable identity plus physical path,FileApplicationPreferences,FileTools item action service,yes,file-app-preference-json-v1,<host-executable>,host executable identity,authenticated local user,A03/B05,yes,Classified,Preference is optional and must be invalidated or migrated per host
STO-001,src/Foundation/CanDoItAll.Infrastructure/Storage/Persistence/StoragePersistenceModels.cs,physical root or remote endpoint,StorageCatalogService,storage drivers browse transfer and access services,yes,storage-catalog-db-v1,<root-or-endpoint>,provider-specific physical or URI semantics,storage administrator,A03,yes,Classified,Filesystem values are host-bound; remote endpoints are not
STO-002,src/Foundation/CanDoItAll.Infrastructure/Storage/Models/StorageModels.cs,remote gateway URL and base path,Workspace storage editor,IPFS and remote storage drivers,yes,provider-config-json-v1,<remote-endpoint>,URI plus provider path semantics,storage administrator,A03,no,Classified,ConfigJson requires typed versioned migration
STO-003,src/Foundation/CanDoItAll.Infrastructure/Storage/Models/StorageModels.cs,logical/remote/content/URL locator,storage drivers and application services,storage drivers and FileTools integration,yes,storage-reference-v1,<logical-locator>,ordinal by locator kind,workspace/storage authorization,A01/A03,no,Classified,LocatorKind is present but string canonicalization differs by provider
STO-004,src/Foundation/CanDoItAll.Infrastructure/Storage/Persistence/StoragePersistenceModels.cs,logical node key,Workspace storage editor,DefaultStorageRoutingService,yes,storage-routing-db-v1,<node-key>,ordinal identifier,workspace authorization,A01,no,Classified,Identifier is not a physical path
MAF-001,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Paths/WorkspacePathPolicy.cs,logical workspace path,MAF callers,workspace catalogs tools and receipts,mixed,logical-path-v0,folder/file.txt,currently mixed ordinal policies,workspace authorization,A01,no,Classified,Canonical contract moves to SharedKernel
