surface_id,launch_owner,pid_registry,start_identity,executable_identity,argv_signature,workspace_scope,user_owner,parent_or_lease,recovery_adapter,termination_evidence,ambiguous_behavior,status
RT-001,Workspace execution run,Workspace execution lease store,PID plus exact UTC launch timestamp plus executable fingerprint,Kernel-reported executable identity with resolved-path fallback for an already-exited short command,Typed ordered arguments,Authorized workspace,Current host user,Execution-run lease,Typed session detach or disposal plus verified lease cleanup,Windows/Linux timeout cancellation tree-kill detached-session JSON-round-trip sub-second-mismatch and foreign-identity tests,One canonical low-level implementation; direct dotnet keep-alive has no shell intermediary and per-execution factories own their instance,Completed-B01-Gate-R1a-GO
RT-002,Workspace alias session,None,Canonical host result,Windows system subst.exe,Typed drive/root or drive/delete arguments,Authorized workspace drive alias,Current host user,Alias session,None,Bounded canonical-host completion and async delete,Windows-only compatibility capability is explicit,Completed-B01-Gate-R1a-GO
RT-003,Git operation,None,Canonical host result,WorkspaceExecutableLocator result,Typed GitArgument values,Repository root,Current host user,Caller invocation,None,Timeout/cancellation tree termination and residual reporting,Git domain remains in Foundation while execution adapts in Core,Completed-B01-Gate-R1a-GO
RT-004,MCP setup,None,Process instance only,npm or npm.cmd,Typed npm install arguments,MCP tool root,Current host user,Setup call,None,Tree kill on setup timeout,Global cache identity can be ambiguous,Classified-B04
RT-005,Local stdio MCP session,Session-held Process,Process instance,McpExecutableResolver result,Typed descriptor arguments,Configured working directory,Current host user,MCP session,None,Session tree kill,Separate resolver host and environment rules,Classified-B04
RT-006,External tool invocation,None,Canonical host result,WorkspaceExecutableLocator result,Typed descriptor arguments,Descriptor working directory,Current host user,Tool invocation,None,Timeout/cancellation tree termination and residual reporting,Tool diagnostics exclude process output and adapter applies UTF-8 byte cap,Completed-B01-Gate-R1a-GO
RT-007,Workbench runtime launcher,Host-lifetime Workbench registry,PID plus exact B01 session start identity,WorkspaceExecutableLocator result,Typed ordered arguments,Core-authorized workspace or opaque external target,Interactive host user,Runtime node ID and exact owned session,New scoped adapters recover the same host-lifetime registry,Exact-session operator stop plus cancellation-safe host-shutdown drain,Missing or ambiguous ownership never authorizes name-only termination,Completed-B02-Workbench-GO
RT-008,Manager watch supervisor,Durable Manager registry,PID plus exact UTC start identity,Kernel-observed executable identity,Planned and observed typed argv fingerprints,Configured Manager workspace,Observed host owner,Typed purpose plus lease owner,Host-selected registry-first discovery,Exact live session graceful then bounded force or exact recovered identity force-tree,Missing or mismatched evidence remains diagnostic and blocks same owner relaunch,Implemented-B03-Gate-R2-Pending
RT-009,Manager Tailwind supervisor,Durable Manager registry,PID plus exact UTC start identity,Kernel-observed node executable identity,Typed node-entry argv plus observed fingerprint,Tailwind workspace,Observed host owner,Typed purpose plus lease owner,Host-selected registry-first discovery,Exact live session graceful then bounded force or exact recovered identity force-tree,Dependency or ownership ambiguity remains faulted without name-only termination,Implemented-B03-Gate-R2-Pending
RT-010,Manager tuning request,Durable Manager registry for active request,PID plus exact UTC start identity,Resolved executable identity,Template tokenized before typed value substitution plus observed fingerprint,Manager workspace,Observed host owner,Tuning request lease owner,Host-selected registry-first discovery,Canonical session completion/cancellation/disposal with bounded termination,Invalid tokenization or ownership evidence fails explicitly,Implemented-B03-Gate-R2-Pending
RT-011,Manager recovery,Durable registry is primary authority,PID plus exact start identity and parent,Windows WMI Linux proc or macOS invariant ps executable,Observed command fingerprint,Stored workspace fingerprint,Observed owner,Typed purpose plus lease owner,Windows Linux or macOS bounded leaf adapter,Terminate only after exact verifier result,Permission missing race malformed or mismatch remains manual diagnostic,Implemented-B03-Gate-R2-Pending
RT-012,Docker plugin,None,Canonical host result,WorkspaceExecutableLocator result,Typed recipe arguments,Workspace and validated Docker host configuration,Current host user,Plugin invocation,None,Canonical timeout/cancellation/tree termination result,Scoped plugin adapter consumes the injected B01 host and owns only Docker recipe/probe semantics,Implemented-B05-Gate-R3b-Pending
